True,def(WIN32)
def(WSDEBUG_SENSE),def(WSDEBUG)
def(WSDEBUG),True
True,def(WSDEBUG)
def(INET_SOCKETS),True
!def(INET_SOCKETS),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
True,def(WSDEBUG_SENSE)
def(WSDEBUG_SENSE),True
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
True,def(_WIN32)
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(NBDEBUG),def(WSDEBUG)
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG_TRACE),def(WSDEBUG)
True,def(WSDEBUG_TRACE)
def(WSDEBUG_TRACE),True
!def(INET_SOCKETS),def(_WIN32)
def(WIN32),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(FEAT_BEVAL),True
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(MAIN),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(NBDEBUG),True
