!def(INET_SOCKETS),def(_WIN32)
True,def(WIN32)
def(FEAT_BEVAL),True
True,def(_WIN32)
def(MAIN),True
def(WSDEBUG_TRACE),True
def(WSDEBUG_TRACE),def(WSDEBUG)
!def(INET_SOCKETS),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(WSDEBUG),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
def(INET_SOCKETS),def(_WIN32)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
True,def(WSDEBUG_SENSE)
def(WSDEBUG_SENSE),def(WSDEBUG)
True,def(WSDEBUG_TRACE)
def(NBDEBUG),True
def(NBDEBUG),def(WSDEBUG)
def(WIN32),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(WSDEBUG_SENSE),True
True,def(WSDEBUG)
def(INET_SOCKETS),True
