Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,1,0,0,0,0,0
13-06-2004 09:02:36,2,1,0,0,0,0,0
13-06-2004 09:18:32,3,1,0,0,0,0,0
13-06-2004 09:30:23,4,1,0,0,0,0,0
13-06-2004 10:44:53,5,1,0,0,0,0,0
13-06-2004 10:51:16,6,1,0,0,0,0,0
13-06-2004 04:20:40,7,1,0,0,0,0,0
16-06-2004 07:19:22,8,1,0,0,0,0,0
20-06-2004 08:51:53,9,1,0,0,0,0,0
24-06-2004 11:53:16,10,1,0,0,0,0,0
30-06-2004 12:16:41,11,1,0,0,0,0,0
02-07-2004 11:38:35,12,1,0,0,0,0,0
03-07-2004 12:05:59,13,1,0,0,0,0,0
05-07-2004 11:58:32,14,2,0,0,0,0,0
10-07-2004 05:47:34,15,2,0,0,0,0,0
12-07-2004 11:53:54,16,2,0,0,0,0,0
16-07-2004 04:18:37,17,2,0,0,0,0,0
18-07-2004 05:34:53,18,2,0,0,0,0,0
19-07-2004 04:55:54,19,2,0,0,0,0,0
26-07-2004 08:53:41,20,2,0,0,0,0,0
29-07-2004 04:43:53,21,2,0,0,0,0,0
02-09-2004 03:12:26,22,2,0,0,0,0,0
06-09-2004 01:44:46,23,2,0,0,0,0,0
13-09-2004 04:26:32,24,2,0,0,0,0,0
07-10-2004 04:45:47,25,2,0,0,0,0,0
07-10-2004 05:02:47,26,2,0,0,0,0,0
11-10-2004 06:00:50,27,2,0,0,0,0,0
11-10-2004 06:06:20,28,2,0,0,0,0,0
11-10-2004 06:16:09,29,6,0,0,0,0,0
12-10-2004 03:53:42,30,6,0,0,0,0,0
12-10-2004 03:54:52,31,6,0,0,0,0,0
12-10-2004 04:02:24,32,6,0,0,0,0,0
24-10-2004 03:18:58,33,6,0,0,0,0,0
24-10-2004 03:23:07,34,6,0,0,0,0,0
09-12-2004 06:09:42,35,7,0,0,0,0,0
09-12-2004 06:34:53,36,10,3,0,3,0,0
12-12-2004 08:33:30,37,10,3,0,0,3,0
12-12-2004 08:37:09,38,10,3,0,0,3,0
19-12-2004 07:46:22,39,10,3,0,0,3,0
24-12-2004 11:35:23,40,10,3,0,0,3,0
27-12-2004 06:59:20,41,14,7,0,4,3,1
29-12-2004 05:58:21,42,14,7,0,0,7,0
29-12-2004 06:03:02,43,14,7,0,0,7,0
31-12-2004 05:56:11,44,20,13,0,6,7,3
31-12-2004 05:58:58,45,20,13,0,0,13,0
31-12-2004 06:01:02,46,20,13,0,0,13,0
02-01-2005 08:28:13,47,21,13,0,0,13,0
02-01-2005 08:31:05,48,21,13,0,0,13,0
02-01-2005 08:32:29,49,21,13,0,0,13,0
02-01-2005 08:36:03,50,21,13,0,0,13,0
02-01-2005 08:43:19,51,21,13,0,0,13,0
03-01-2005 05:55:08,52,21,13,0,0,13,0
03-01-2005 05:56:17,53,21,13,0,0,13,0
03-01-2005 05:58:59,54,21,13,0,0,13,0
03-01-2005 06:02:03,55,21,13,0,0,13,0
03-01-2005 06:06:01,56,21,13,0,0,13,0
04-01-2005 06:07:44,57,21,13,0,0,13,0
04-01-2005 06:12:13,58,21,13,0,0,13,0
04-01-2005 06:13:16,59,21,13,0,0,13,0
04-01-2005 06:14:57,60,21,13,0,0,13,0
04-01-2005 06:16:35,61,21,13,0,0,13,0
04-01-2005 06:19:20,62,21,14,0,1,13,0
04-01-2005 06:21:28,63,21,14,0,0,14,0
04-01-2005 06:23:48,64,21,14,0,0,14,0
04-01-2005 06:24:54,65,21,14,0,0,14,0
04-01-2005 06:26:43,66,21,14,0,0,14,0
04-01-2005 06:31:43,67,21,14,0,0,14,0
04-01-2005 06:38:36,68,21,14,0,0,14,0
04-01-2005 06:43:22,69,21,14,0,0,14,0
04-01-2005 06:45:14,70,21,14,0,0,14,0
04-01-2005 06:52:38,71,21,14,0,0,14,0
05-01-2005 07:07:01,72,21,14,0,0,14,0
05-01-2005 07:08:40,73,21,14,0,0,14,0
05-01-2005 07:10:30,74,21,14,0,0,14,0
05-01-2005 07:16:17,75,21,14,0,0,14,0
05-01-2005 07:19:46,76,21,14,0,0,14,0
06-01-2005 08:19:09,77,21,14,0,0,14,0
06-01-2005 08:22:30,78,21,14,0,0,14,0
06-01-2005 08:24:37,79,21,14,0,0,14,0
06-01-2005 08:28:25,80,21,14,0,0,14,0
07-01-2005 06:45:22,81,21,14,0,0,14,0
07-01-2005 06:48:26,82,21,14,0,0,14,0
07-01-2005 06:51:51,83,21,14,0,0,14,0
08-01-2005 01:04:29,84,21,14,0,0,14,0
08-01-2005 01:08:21,85,21,14,0,0,14,0
08-01-2005 01:11:57,86,21,14,0,0,14,0
08-01-2005 06:45:39,87,21,14,0,0,14,0
08-01-2005 06:49:45,88,21,14,0,0,14,0
09-01-2005 06:16:21,89,21,14,0,0,14,0
09-01-2005 06:20:18,90,21,14,0,0,14,0
09-01-2005 06:22:45,91,21,14,0,0,14,0
09-01-2005 06:23:56,92,21,14,0,0,14,0
11-01-2005 06:21:40,93,21,14,0,0,14,0
11-01-2005 06:23:08,94,21,14,0,0,14,0
11-01-2005 06:29:04,95,21,14,0,0,14,0
11-01-2005 06:30:59,96,21,14,0,0,14,0
11-01-2005 06:34:41,97,21,14,0,0,14,0
14-01-2005 06:42:54,98,21,14,0,0,14,0
14-01-2005 06:48:43,99,21,14,0,0,14,0
14-01-2005 06:53:12,100,21,14,0,0,14,0
15-01-2005 07:08:30,101,21,14,0,0,14,0
15-01-2005 07:14:15,102,21,14,0,0,14,0
15-01-2005 07:17:32,103,21,14,0,0,14,0
15-01-2005 07:18:47,104,21,14,0,0,14,0
16-01-2005 06:56:27,105,21,14,0,0,14,0
16-01-2005 06:57:33,106,21,14,0,0,14,0
16-01-2005 06:59:36,107,21,14,0,0,14,0
16-01-2005 07:02:49,108,21,14,0,0,14,0
16-01-2005 07:06:30,109,21,14,0,0,14,0
16-01-2005 07:07:38,110,21,14,0,0,14,0
17-01-2005 07:06:23,111,21,14,0,0,14,0
17-01-2005 07:11:23,112,21,14,0,0,14,0
17-01-2005 07:13:48,113,21,14,0,0,14,0
17-01-2005 07:16:15,114,21,14,0,0,14,0
17-01-2005 07:18:45,115,21,14,0,0,14,0
17-01-2005 07:21:07,116,21,14,0,0,14,0
17-01-2005 07:23:00,117,21,14,0,0,14,0
19-01-2005 07:08:28,118,21,14,0,0,14,0
19-01-2005 07:18:32,119,21,14,0,0,14,0
19-01-2005 07:21:15,120,21,14,0,0,14,0
19-01-2005 07:24:34,121,21,14,0,0,14,0
21-01-2005 08:46:23,122,21,14,0,0,14,0
21-01-2005 08:55:25,123,21,14,0,0,14,0
21-01-2005 08:56:39,124,21,14,0,0,14,0
25-01-2005 06:42:15,125,21,14,0,0,14,0
25-01-2005 06:44:33,126,21,14,0,0,14,0
25-01-2005 06:46:35,127,21,14,0,0,14,0
25-01-2005 06:53:18,128,21,14,0,0,14,0
25-01-2005 06:57:23,129,22,15,0,1,14,0
25-01-2005 06:58:26,130,25,20,0,5,15,0
25-01-2005 07:03:25,131,25,20,0,0,20,0
25-01-2005 07:07:05,132,25,20,0,0,20,0
25-01-2005 07:12:55,133,25,20,0,0,20,0
25-01-2005 07:14:34,134,25,20,0,0,20,0
25-01-2005 07:18:08,135,25,20,0,0,20,0
25-01-2005 07:22:02,136,25,20,0,0,20,0
25-01-2005 07:26:29,137,25,20,0,0,20,0
27-01-2005 11:31:44,138,25,20,0,0,20,0
27-01-2005 11:33:00,139,25,20,0,0,20,0
27-01-2005 11:41:15,140,25,20,0,0,20,0
27-01-2005 11:42:53,141,25,20,0,0,20,0
27-01-2005 11:44:31,142,25,20,0,0,20,0
31-01-2005 03:55:55,143,25,20,0,0,20,0
31-01-2005 03:57:18,144,25,20,0,0,20,0
31-01-2005 03:58:23,145,25,20,0,0,20,0
31-01-2005 04:02:28,146,25,20,0,0,20,0
31-01-2005 04:09:12,147,25,20,0,0,20,0
31-01-2005 04:19:04,148,25,20,0,0,20,0
31-01-2005 04:21:46,149,25,20,0,0,20,0
31-01-2005 04:23:41,150,25,20,0,0,20,0
31-01-2005 04:25:36,151,25,20,0,0,20,0
02-02-2005 07:55:47,152,25,20,0,0,20,0
02-02-2005 08:04:36,153,25,20,0,0,20,0
02-02-2005 08:07:25,154,25,20,0,0,20,0
02-02-2005 08:09:45,155,25,20,0,0,20,0
02-02-2005 08:11:38,156,25,20,0,0,20,0
05-02-2005 06:35:05,157,25,20,0,0,20,0
05-02-2005 06:39:53,158,25,20,0,0,20,0
05-02-2005 06:43:56,159,25,20,0,0,20,0
07-02-2005 06:49:25,160,25,20,0,0,20,0
07-02-2005 07:01:03,161,25,20,0,0,20,0
07-02-2005 07:03:36,162,25,20,0,0,20,0
07-02-2005 07:05:52,163,25,20,0,0,20,0
12-02-2005 11:29:27,164,25,20,0,0,20,0
12-02-2005 11:31:42,165,25,20,0,0,20,0
