!def(GNOME),get_language_list,parameter,Function,3
def(GNOME),menus_get_item_from_path,additon,Function,3
True,view_data,additon,Variable,3
True,display_accel_group,additon,Variable,3
True,display_nmenu_items,additon,Variable,3
True,toolbox_nmenu_items,additon,Variable,3
True,display_menu_items,additon,Variable,3
True,ddisplay_add_update,additon,Function,3
True,display_item_factory,additon,Variable,3
True,toolbox_menu_items,additon,Variable,3
True,ddisplay_add_update_all,exclusion,Function,3
True,ddisplay_transform_coords_double,exclusion,Function,3
True,transform_coord,additon,Function,3
def(GNOME),path,type,Variable,3
True,ddisplay_transform_coords,exclusion,Function,3
def(GNOME),diagram_update_menu_sensitivity,additon,Function,3
!def(GNOME),menus_get_item_from_path,additon,Function,3
True,toolbox_item_factory,additon,Variable,3
