!def(GNOME_PRINT),True
!def(HAVE_LIBART),def(HAVE_LIBART)
!def(HAVE_FREETYPE),True
True,!def(UNICODE_WORK_IN_PROGRESS)
def(GNOME),True
True,!def(HAVE_LIBART)
True,def(HAVE_LIBART)
def(INITIAL_IMAGE),True
def(GNOME_PRINT),True
True,def(GNOME)
!def(GNOME),True
!def(HAVE_UNICODE),True
def(G_OS_WIN32),True
!def(UNICODE_WORK_IN_PROGRESS),True
def(HAVE_LIBART),True
(!def(GNOME_PRINT)&def(GNOME)),True
def(HAVE_LIBART),!def(HAVE_LIBART)
def(HAVE_UNICODE),(def(HAVE_UNICODE)&!def(HAVE_LANGINFO_CODESET))
True,!def(GNOME)
def(PAGELAYOUT_TEST),True
def(UNICODE_WORK_IN_PROGRESS),True
