!def(HAVE_LIBART),def(HAVE_LIBART)
!def(NEW_RENDER_OPS),True
def(PAGELAYOUT_TEST),True
True,!def(GNOME)
!def(HAVE_UNICODE),True
True,!def(HAVE_LANGINFO_CODESET)
!def(GNOME),True
def(G_OS_WIN32),True
def(GNOME),True
True,def(FOR_TRANSLATORS_ONLY)
def(HAVE_FREETYPE),True
def(GTK_DOESNT_TALK_UTF8_WE_DO),True
def(INITIAL_IMAGE),True
!def(HAVE_FREETYPE),True
True,def(HAVE_FREETYPE)
def(HAVE_LIBART),!def(HAVE_LIBART)
True,def(GNOME)
True,!def(HAVE_LIBART)
def(DEBUG_CUSTOM),True
True,def(GTK_DOESNT_TALK_UTF8_WE_DO)
(!def(GNOME_PRINT)&def(GNOME)),True
!def(UNICODE_WORK_IN_PROGRESS),True
!def(GNOME_PRINT),True
True,!def(HAVE_FREETYPE)
def(HAVE_LIBART),True
(def(HAVE_LIBART)&!def(HAVE_FREETYPE)&(!def(HAVE_FREETYPE)|!def(HAVE_LIBART))),True
def(GNOME_PRINT),True
True,def(HAVE_LIBART)
(def(HAVE_LIBART)&!def(HAVE_FREETYPE)&def(GTK_DOESNT_TALK_UTF8_WE_DO)),True
