!def(HAVE_LIBART),def(HAVE_LIBART)
!def(NEW_RENDER_OPS),True
!def(GNOME_PRINT),True
(!def(GNOME_PRINT)&def(GNOME)),True
def(G_OS_WIN32),def(PAGELAYOUT_TEST)
def(GNOME_PRINT),True
def(HAVE_LIBART),True
True,!def(HAVE_LIBART)
(def(HAVE_LIBART)&!def(HAVE_FREETYPE)&(!def(HAVE_FREETYPE)|!def(HAVE_LIBART))),True
True,!def(GNOME)
True,def(GNOME)
def(DEBUG_CUSTOM),True
True,def(FOR_TRANSLATORS_ONLY)
def(HAVE_LIBART),!def(HAVE_LIBART)
!def(GNOME),True
def(PAGELAYOUT_TEST),True
True,def(HAVE_LIBART)
def(INITIAL_IMAGE),True
def(GNOME),True
