Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,1,0,0,0,0,0
03-01-1997 09:20:05,2,1,0,0,0,0,0
31-08-1998 02:33:59,3,1,0,0,0,0,0
31-08-1998 02:33:59,4,1,0,0,0,0,0
02-09-1998 05:40:28,5,1,0,0,0,0,0
05-09-1998 08:51:11,6,1,0,0,0,0,0
11-09-1998 02:40:17,7,1,0,0,0,0,0
12-09-1998 11:08:53,8,1,0,0,0,0,0
13-09-1998 09:37:56,9,1,0,0,0,0,0
27-09-1998 07:51:08,10,1,0,0,0,0,0
29-09-1998 06:52:13,11,1,0,0,0,0,0
29-09-1998 06:55:00,12,1,0,0,0,0,0
29-09-1998 06:57:30,13,1,0,0,0,0,0
29-09-1998 06:59:57,14,1,0,0,0,0,0
30-09-1998 05:25:16,15,1,0,0,0,0,0
30-09-1998 05:28:12,16,1,0,0,0,0,0
01-10-1998 05:28:18,17,1,0,0,0,0,0
02-10-1998 12:34:04,18,1,0,0,0,0,0
02-10-1998 01:14:47,19,1,0,0,0,0,0
02-10-1998 06:03:43,20,1,0,0,0,0,0
03-10-1998 07:34:44,21,1,0,0,0,0,0
12-10-1998 03:18:46,22,1,0,0,0,0,0
28-10-1998 06:00:25,23,1,0,0,0,0,0
29-10-1998 06:52:44,24,1,0,0,0,0,0
02-11-1998 07:13:27,25,1,0,0,0,0,0
02-11-1998 07:21:38,26,1,0,0,0,0,0
08-11-1998 05:44:18,27,1,0,0,0,0,0
24-11-1998 04:36:55,28,1,0,0,0,0,0
24-11-1998 07:30:49,29,1,0,0,0,0,0
25-11-1998 02:33:57,30,1,0,0,0,0,0
25-11-1998 05:11:08,31,1,0,0,0,0,0
26-11-1998 02:10:44,32,1,0,0,0,0,0
30-11-1998 06:40:24,33,1,0,0,0,0,0
30-11-1998 06:46:13,34,1,0,0,0,0,0
30-11-1998 05:03:02,35,1,0,0,0,0,0
01-12-1998 03:06:00,36,1,0,0,0,0,0
02-12-1998 06:07:16,37,1,0,0,0,0,0
05-12-1998 01:18:46,38,1,0,0,0,0,0
05-12-1998 02:01:49,39,1,0,0,0,0,0
06-12-1998 07:11:41,40,1,0,0,0,0,0
17-12-1998 01:09:56,41,1,0,0,0,0,0
21-12-1998 04:33:24,42,1,0,0,0,0,0
21-12-1998 05:15:20,43,1,0,0,0,0,0
05-01-1999 04:14:45,44,1,0,0,0,0,0
10-01-1999 06:55:58,45,1,0,0,0,0,0
12-01-1999 08:03:41,46,1,0,0,0,0,0
14-01-1999 11:17:45,47,1,0,0,0,0,0
14-01-1999 11:34:49,48,1,0,0,0,0,0
14-01-1999 11:34:49,49,1,0,0,0,0,0
14-01-1999 11:37:02,50,1,0,0,0,0,0
14-01-1999 12:17:20,51,1,0,0,0,0,0
15-01-1999 04:57:08,52,1,0,0,0,0,0
16-01-1999 10:20:32,53,1,0,0,0,0,0
16-01-1999 01:52:46,54,1,0,0,0,0,0
19-01-1999 11:42:38,55,1,0,0,0,0,0
19-01-1999 12:01:14,56,1,0,0,0,0,0
19-01-1999 07:59:35,57,1,0,0,0,0,0
21-01-1999 03:35:50,58,1,0,0,0,0,0
21-01-1999 03:58:18,59,1,0,0,0,0,0
22-01-1999 04:39:18,60,1,0,0,0,0,0
24-01-1999 09:12:49,61,1,0,0,0,0,0
25-01-1999 10:18:36,62,1,0,0,0,0,0
25-01-1999 10:21:23,63,1,0,0,0,0,0
25-01-1999 10:24:19,64,2,0,0,0,0,0
25-01-1999 10:26:05,65,2,0,0,0,0,0
25-01-1999 10:27:13,66,2,0,0,0,0,0
25-01-1999 10:43:50,67,2,0,0,0,0,0
27-01-1999 05:45:01,68,2,0,0,0,0,0
28-01-1999 05:35:21,69,2,0,0,0,0,0
31-01-1999 04:10:19,70,2,0,0,0,0,0
01-02-1999 05:25:55,71,2,0,0,0,0,0
01-02-1999 05:50:46,72,2,0,0,0,0,0
02-02-1999 07:17:19,73,2,0,0,0,0,0
04-02-1999 05:20:08,74,2,0,0,0,0,0
06-02-1999 10:23:52,75,2,0,0,0,0,0
06-02-1999 11:14:43,76,2,0,0,0,0,0
06-02-1999 02:23:57,77,2,0,0,0,0,0
07-02-1999 03:57:34,78,2,0,0,0,0,0
11-02-1999 06:47:33,79,2,0,0,0,0,0
11-02-1999 06:56:51,80,2,0,0,0,0,0
11-02-1999 07:17:35,81,2,0,0,0,0,0
13-02-1999 12:38:11,82,2,0,0,0,0,0
15-02-1999 02:29:24,83,3,0,0,0,0,0
15-02-1999 03:10:50,84,3,0,0,0,0,0
15-02-1999 03:13:09,85,3,0,0,0,0,0
15-02-1999 04:18:34,86,3,0,0,0,0,0
15-02-1999 05:00:34,87,3,0,0,0,0,0
22-02-1999 01:58:25,88,3,0,0,0,0,0
23-02-1999 03:32:35,89,3,0,0,0,0,0
23-02-1999 03:33:50,90,3,0,0,0,0,0
24-02-1999 02:48:31,91,3,0,0,0,0,0
27-02-1999 12:16:08,92,3,0,0,0,0,0
27-02-1999 07:50:06,93,3,1,0,1,0,0
27-02-1999 07:51:19,94,3,1,0,0,1,0
27-02-1999 07:53:34,95,3,1,0,0,1,0
27-02-1999 07:58:03,96,3,1,0,0,1,0
27-02-1999 08:01:46,97,3,1,0,0,1,0
28-02-1999 10:00:56,98,3,1,0,0,1,0
28-02-1999 10:24:06,99,3,1,0,0,1,0
28-02-1999 11:03:19,100,3,1,0,0,1,1
28-02-1999 03:41:54,101,3,1,0,0,1,0
01-03-1999 11:35:53,102,3,3,0,2,1,1
01-03-1999 02:48:07,103,3,3,0,0,3,0
04-03-1999 12:33:29,104,3,3,0,0,3,0
04-03-1999 12:44:02,105,3,3,0,0,3,0
