!def(DEBUG_USE_SYSLOG),def(PS2_SUPPORT)
!def(CRON_DEFAULT_UTC),True
def(DUAL_HBRIDGE_SUPPORT),!def(DUAL_HBRIDGE_SUPPORT)
!def(TEENSY_SUPPORT),True
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
True,def(ROUTER_SUPPORT)
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
True,def(MODBUS_CLIENT_SUPPORT)
!def(RFM12_IP_SUPPORT),True
!def(DC3840_BLACK_WHITE),True
!def(SOFT_SPI_SUPPORT),def(PS2_SUPPORT)
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)&def(TEENSY_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
def(CRON_SUPPORT_TEST),True
!def(DUAL_HBRIDGE_SUPPORT),True
def(USB_NET_SUPPORT),True
def(DISABLE_IPCONF_SUPPORT),True
True,def(ECMD_USB_SUPPORT)
def(I2C_PCF8574X_SUPPORT),True
!def(DEBUG),True
True,def(TEENSY_SUPPORT)
def(I2C_PCF8574X_SUPPORT),def(PS2_SUPPORT)
!def(DC3840_HIGH_COMPRESSION),True
def(MCUF_SCROLLTEXT_SUPPORT),True
True,def(PS2_SUPPORT)
def(USB_KEYBOARD_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
def(MODBUS_CLIENT_SUPPORT),def(PS2_SUPPORT)
def(DEBUG),!def(DEBUG)
True,def(ECMD_PAM_SUPPORT)
def(VFS_SUPPORT),True
def(ETHERNET_SUPPORT),True
True,def(VFS_PWM_WAV_SUPPORT)
def(MCUF_SPIRAL_SUPPORT),True
True,def(USB_NET_SUPPORT)
!def(DEBUG_CRON_DRYRUN),True
(def(USB_HID_KEYBOARD_ECMD_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
def(ECMD_USB_SUPPORT),def(PS2_SUPPORT)
def(USB_NET_SUPPORT),def(PS2_SUPPORT)
(def(TEENSY_SUPPORT)&!def(RFM12_DISABLE)),True
def(DNS_SUPPORT),True
def(LARGESCREEN),True
True,def(DNS_SUPPORT)
def(ETHERNET_SUPPORT),!def(IPV6_STATIC_SUPPORT)
True,def(ETHERNET_SUPPORT)
True,def(HD44780_MULTIENSUPPORT)
def(DEBUG),(!def(DEBUG)&def(LARGESCREEN))
def(MDNS_SD_SUPPORT),def(ETHERNET_SUPPORT)
True,!def(IPV6_SUPPORT)
def(ECMD_SERIAL_USART_SUPPORT),True
True,!def(DEBUG)
(def(LARGESCREEN)&def(DEBUG)),True
True,def(MDNS_SD_SUPPORT)
!def(SOFT_SPI_SUPPORT),True
def(USB_MOUSE_SUPPORT),def(USB_KEYBOARD_SUPPORT)
def(RFM12_DISABLE),True
(def(RFM12_ASK_SENSING_SUPPORT)&def(RFM12_ASK_EXTERNAL_FILTER_SUPPORT)),True
def(ECMD_PARSER_SUPPORT),True
def(LCD_DRAWBITMAP_USED),True
def(DC3840_BLACK_WHITE),True
def(PS2_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
def(DUAL_HBRIDGE_SUPPORT),True
!def(DEBUG),(!def(DEBUG)&def(LARGESCREEN))
def(HTTPD_AUTH_SUPPORT),True
(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(HTTPD_SOAP_SUPPORT),True
True,def(HTTPD_AUTH_SUPPORT)
(!def(DEBUG)&def(LARGESCREEN)),True
def(DC3840_HIGH_COMPRESSION),True
def(DEBUG),True
(!def(TEENSY_SUPPORT)&!def(RFM12_IP_SUPPORT)),True
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),(def(ROUTER_SUPPORT)&def(ZBUS_SUPPORT))
!def(HD44780_MULTIENSUPPORT),True
True,def(PWM_SERVO_SUPPORT)
True,def(LARGESCREEN)
True,!def(SOFT_SPI_SUPPORT)
def(VFS_SUPPORT),def(HTTPD_AUTH_SUPPORT)
(def(ROUTER_SUPPORT)&def(ZBUS_SUPPORT)),True
True,(!def(VFS_TEENSY)&def(ETHERNET_SUPPORT))
True,def(I2C_PCF8574X_SUPPORT)
!def(DEBUG),(def(LARGESCREEN)&def(DEBUG))
def(DC3840_UDP_DEBUG),True
def(MCUF_IMAGE_SUPPORT),True
(!def(RFM12_DISABLE)&!def(TEENSY_SUPPORT)),(!def(TEENSY_SUPPORT)&!def(RFM12_IP_SUPPORT))
def(ECMD_PAM_SUPPORT),True
def(SD_PING_READ),True
True,(def(ROUTER_SUPPORT)&def(ZBUS_SUPPORT))
True,!def(TEENSY_SUPPORT)
!def(DISABLE_IPCONF_SUPPORT),True
