Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
03-09-2006 06:38:55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-09-2006 04:26:54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-2006 09:57:56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-2006 09:58:18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-2006 01:37:58,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-09-2006 05:37:34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2006 04:51:35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2006 07:26:44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2006 07:26:59,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2006 08:11:42,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-09-2006 08:46:23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-09-2006 09:09:12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2006 08:34:12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2006 09:32:04,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2006 11:16:32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2006 11:17:24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2006 11:19:28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2006 11:20:04,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2006 10:28:41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2006 11:41:09,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2006 11:45:08,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2006 12:02:14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2006 04:43:15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2006 12:00:00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2006 07:08:26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2006 07:20:19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2006 11:02:54,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2006 11:03:09,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2006 07:22:36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2006 12:38:43,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2006 07:24:54,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
