!def(_CRAY),True
!def(USG),def(DEBUG)
True,def(NOMEMCMP)
True,def(USG)
True,!def(FMOD_MISSING)
def(DEBUG),True
def(DYNAMIC),True
!def(DYNAMIC),True
True,!def(HAVE_LIBREADLINE)
True,def(DEBUG)
def(HAVE_LIBREADLINE),True
def(DEBUG),(def(notdef)&def(DEBUG))
True,def(notdef)
!def(NO_VMS_PIPES),True
!def(STRICT),True
True,def(FMOD_MISSING)
def(DYNAMIC),def(DEBUG)
True,!def(USG)
True,def(CRAY)
!def(USG),True
True,!def(__ia64__)
def(DEBUG),def(TEST)
!def(MBS_SUPPORT),True
True,def(DYNAMIC)
def(TEST),(!def(VMS)&!def(TEST))
!def(HAVE_LIBREADLINE),True
def(notdef),def(TEST)
def(USG),True
def(FMOD_MISSING),True
True,(!def(VMS)&!def(TEST))
(!def(VMS)&!def(TEST)),True
True,!def(_CRAY)
def(TEST),def(DEBUG)
def(MBS_SUPPORT),True
def(USG),def(DEBUG)
(def(notdef)&def(DEBUG)),True
def(STRICT),True
def(TEST),True
def(_CRAY),True
def(DYNAMIC),def(TEST)
def(notdef),True
def(HAVE_ST_BLKSIZE),True
True,!def(NO_VMS_PIPES)
(!def(VMS)&!def(TEST)),def(TEST)
True,def(HAVE_ST_BLKSIZE)
True,def(TEST)
True,def(_CRAY)
def(CRAY),True
(def(notdef)&def(DEBUG)),def(DEBUG)
True,(def(VAXC_BUILTINS)&!def(NO_TTY_FWRITE))
!def(FMOD_MISSING),True
