!def(USG),def(DEBUG)
def(_CRAY),True
!def(MBS_SUPPORT),True
!def(FMOD_MISSING),True
def(DYNAMIC),True
True,!def(__ia64__)
True,(!def(VMS)&!def(TEST))
(def(notdef)&def(DEBUG)),def(DEBUG)
True,!def(HAVE_LIBREADLINE)
def(DYNAMIC),def(TEST)
True,(def(VAXC_BUILTINS)&!def(NO_TTY_FWRITE))
def(DEBUG),True
def(TEST),(!def(VMS)&!def(TEST))
def(TEST),def(DEBUG)
True,def(CRAY)
!def(DYNAMIC),True
def(DEBUG),(def(notdef)&def(DEBUG))
def(TEST),True
def(notdef),def(TEST)
True,def(FMOD_MISSING)
def(USG),True
!def(_CRAY),True
True,!def(FMOD_MISSING)
(def(notdef)&def(DEBUG)),True
True,def(HAVE_ST_BLKSIZE)
(!def(VMS)&!def(TEST)),True
True,def(notdef)
True,def(TEST)
def(MBS_SUPPORT),True
True,def(USG)
!def(NO_VMS_PIPES),True
True,!def(NO_VMS_PIPES)
True,!def(_CRAY)
def(USG),def(DEBUG)
!def(USG),True
!def(STRICT),True
True,!def(USG)
def(CRAY),True
def(DYNAMIC),def(DEBUG)
!def(HAVE_LIBREADLINE),True
def(HAVE_ST_BLKSIZE),True
True,def(NOMEMCMP)
True,def(DEBUG)
True,def(DYNAMIC)
def(STRICT),True
def(HAVE_LIBREADLINE),True
def(FMOD_MISSING),True
def(DEBUG),def(TEST)
def(notdef),True
True,def(_CRAY)
(!def(VMS)&!def(TEST)),def(TEST)
