Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
02-07-2010 08:44:33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
02-07-2010 08:46:31,3,11,45,8,485,141,388,0,0,0,0,0,0,0,0,3
02-07-2010 08:49:42,4,14,74,18,548,85,655,0,0,0,0,3,0,2,0,3
02-07-2010 08:52:23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
02-07-2010 08:53:23,6,6,5,32,3,6,4,0,0,0,0,0,0,0,0,3
15-07-2010 04:12:49,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3
15-07-2010 04:24:47,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3
16-07-2010 04:58:26,9,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3
16-07-2010 04:58:56,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3
16-07-2010 04:59:53,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3
16-07-2010 05:04:45,12,7,13,28,24,11,3,0,0,0,0,4,0,0,0,5
16-07-2010 05:09:58,13,8,13,0,0,0,0,0,0,0,0,0,0,0,0,33
16-07-2010 05:18:27,14,14,12,245,5,12,19,0,0,0,0,0,0,0,0,68
16-07-2010 05:22:24,15,14,12,0,0,0,0,0,0,0,0,0,0,0,0,117
16-07-2010 05:24:15,16,14,12,0,0,0,0,0,0,0,0,0,0,0,0,166
16-07-2010 05:27:41,17,14,12,0,0,0,0,0,0,0,0,0,0,0,0,215
16-07-2010 05:30:13,18,14,12,0,0,0,0,0,0,0,0,0,0,0,0,264
16-07-2010 05:33:03,19,14,12,0,0,0,0,0,0,0,0,0,0,0,0,313
16-07-2010 05:35:31,20,14,12,0,0,0,0,0,0,0,0,0,0,0,0,362
16-07-2010 05:41:09,21,14,12,0,0,0,0,0,0,0,0,0,0,0,0,411
16-07-2010 05:45:40,22,14,12,0,0,0,0,0,0,0,0,0,0,0,0,460
16-07-2010 05:47:28,23,7,6,39,0,29,16,0,0,0,0,0,0,0,0,509
16-07-2010 05:49:45,24,7,6,0,0,0,0,0,0,0,0,0,0,0,0,553
16-07-2010 05:54:45,25,7,6,0,0,0,0,0,0,0,0,0,0,0,0,597
16-07-2010 05:57:07,26,7,6,0,0,0,0,0,0,0,0,0,0,0,0,641
16-07-2010 05:59:03,27,7,6,0,0,0,0,0,0,0,0,0,0,0,0,685
16-07-2010 06:09:56,28,7,6,0,0,0,0,0,0,0,0,0,0,0,0,729
16-07-2010 06:14:38,29,7,6,0,0,0,0,0,0,0,0,0,0,0,0,773
16-07-2010 06:17:58,30,7,6,0,0,0,0,0,0,0,0,0,0,0,0,817
16-07-2010 06:22:00,31,7,6,0,0,0,0,0,0,0,0,0,0,0,0,861
16-07-2010 07:40:49,32,7,6,0,0,0,0,0,0,0,0,0,0,0,0,905
16-07-2010 07:47:02,33,7,6,0,0,0,0,0,0,0,0,0,0,0,0,949
16-07-2010 07:49:57,34,7,6,0,0,0,0,0,0,0,0,0,0,0,0,993
