Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
12-02-2009 09:39:05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-04-2009 08:47:41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-04-2009 08:51:13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-04-2009 08:54:43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-04-2009 08:57:13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-04-2009 08:58:29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-05-2009 11:47:07,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-05-2009 11:47:44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-05-2009 04:00:08,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-05-2009 09:02:29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-05-2009 09:08:42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2009 04:54:50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2009 04:59:09,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2009 06:13:19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2009 08:18:21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-05-2009 10:05:07,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 03:32:43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:07:58,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:10:44,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:11:28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:23:25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:24:47,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:25:41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06-2009 04:32:12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2009 04:30:49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2009 04:34:43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2009 05:12:00,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2009 06:16:27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-06-2009 07:57:36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-06-2009 04:03:49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
