!def(USE_FASTCGI),msGetLayerIndex,additon,Function,5
True,msDBFReadStringAttribute,parameter,Function,5
def(USE_WMS_SVR),msWMSDispatch,parameter,Function,5
True,msApplyOutputFormat,additon,Function,5
True,setExtentFromShapes,exclusion,Function,5
!def(USE_FASTCGI),classindex,additon,Function,5
True,split,parameter,Function,5
True,msFreeCharArray,additon,Function,5
def(USE_WMS_LYR),msDrawWMSLayer,parameter,Function,5
True,msGetOutputFormatOption,parameter,Function,5
def(USE_FASTCGI),classindex,additon,Function,5
True,msGetLayerIndex,additon,Function,5
def(USE_FASTCGI),msGetLayerIndex,additon,Function,5
