def(USE_WMS_LYR),msDrawWMSLayer,parameter,Function,8
True,ctx,exclusion,Variable,8
True,msCalculateScale,additon,Function,8
True,msOWSLookupMetadata,exclusion,Function,8
True,map,exclusion,Variable,8
True,color,exclusion,Variable,8
True,width,exclusion,Variable,8
True,msCreateLegendIcon,additon,Function,8
True,p,exclusion,Variable,8
True,size,exclusion,Variable,8
True,msFreeCharArray,exclusion,Function,8
True,mapserv,exclusion,Variable,8
True,height,exclusion,Variable,8
True,style,exclusion,Variable,8
True,offsety,exclusion,Variable,8
def(USE_WCS_SVR),msOWSDispatch,additon,Function,8
True,img,exclusion,Variable,8
True,format,exclusion,Variable,8
True,offsetx,exclusion,Variable,8
