True,def(NEED_STRDUP)
!def(USE_GD_PNG),True
True,!def(USE_GD_TTF)
!def(USE_GD_GIF),True
!def(USE_GD_WBMP),True
def(_WIN32),True
def(TEST),True
True,def(USE_GD_TTF)
def(USE_PROJ),!def(USE_PROJ)
True,def(TEST)
def(USE_GD_TTF),!def(USE_GD_TTF)
!def(USE_PROJ),True
def(USE_EGIS),True
True,def(USE_PROJ)
!def(USE_EGIS),True
def(USE_PROJ),def(NEED_STRCASECMP)
def(USE_GD_TTF),True
True,def(NEED_STRCASECMP)
def(USE_SDE),True
!def(__TODO35__),True
!def(USE_GD_JPEG),True
def(USE_GD_TTF),def(NEED_STRDUP)
!def(IGNORE_MISSING_DATA),True
def(NEED_STRDUP),True
True,def(NEED_STRNCASECMP)
True,def(IGNORE_MISSING_DATA)
def(USE_PROJ),def(NEED_STRDUP)
def(USE_PROJ),True
True,def(USE_EGIS)
!def(USE_GD_TTF),True
def(USE_EGIS),def(NEED_STRCASECMP)
def(IGNORE_MISSING_DATA),True
def(JISX0208),True
