!def(USE_FASTCGI),def(USE_FASTCGI)
True,def(USE_GD_FT)
!def(USE_FASTCGI),True
def(__cplusplus),True
True,def(USE_GD_PNG)
def(USE_GD_FT),True
!def(USE_WMS_SVR),True
def(TEST_MAPCRYPTO),True
!def(USE_FASTCGI),def(USE_GD_FT)
!def(USE_SOS_SVR),True
!def(__cplusplus),True
!def(IGNORE_MISSING_DATA),True
!def(USE_AGG),True
True,def(USE_FASTCGI)
True,!def(__cplusplus)
!def(USE_WCS_SVR),True
def(USE_WMS_SVR),!def(USE_WMS_SVR)
!def(USE_GD_WBMP),True
!def(USE_GD_FT),True
def(USE_FASTCGI),def(USE_GD_FT)
def(USE_WMS_SVR),def(USE_THREAD)
def(USE_GEOS),True
True,def(__cplusplus)
def(USE_GD_JPEG),True
True,def(USE_WMS_SVR)
True,def(USE_GD_GIF)
True,!def(USE_FASTCGI)
def(USE_GD_GIF),True
True,def(USE_GD_JPEG)
def(USE_FASTCGI),!def(USE_FASTCGI)
True,!def(USE_GEOS)
True,def(USE_THREAD)
def(IGNORE_MISSING_DATA),True
!def(USE_FASTCGI),def(USE_THREAD)
def(USE_WMS_SVR),def(USE_PROJ)
True,def(GD_HAS_FTEX_XSHOW)
True,def(USE_PROJ)
True,!def(USE_AGG)
def(USE_FASTCGI),True
True,def(USE_WCS_SVR)
def(USE_AGG),True
True,def(USE_AGG)
def(USE_FASTCGI),def(USE_WMS_SVR)
def(USE_PROJ),True
def(GD_HAS_FTEX_XSHOW),True
def(USE_WMS_SVR),True
!def(USE_GEOS),True
def(USE_GD_PNG),True
!def(USE_WFS_SVR),True
!def(USE_GD_PNG),True
!def(USE_PDF),True
def(USE_FASTCGI),def(USE_THREAD)
!def(USE_GD_JPEG),True
def(USE_POINT_Z_M),True
!def(USE_FASTCGI),def(USE_WMS_SVR)
def(USE_WCS_SVR),True
!def(USE_GD_GIF),True
def(MS_ENABLE_CGI_CL_DEBUG_ARGS),True
