!def(USE_SOS_SVR),True
!def(USE_FASTCGI),def(USE_WMS_SVR)
True,def(USE_GD_JPEG)
True,def(USE_WMS_LYR)
True,!def(USE_FASTCGI)
def(USE_WMS_SVR),def(USE_OGR)
!def(USE_FASTCGI),def(USE_FASTCGI)
!def(IGNORE_MISSING_DATA),True
def(USE_FASTCGI),True
def(IGNORE_MISSING_DATA),True
def(GD_HAS_FTEX_XSHOW),True
def(USE_GD_JPEG),True
True,def(notdef)
!def(USE_AGG),True
!def(USE_FASTCGI),def(USE_PROJ)
def(USE_POINT_Z_M),True
def(USE_WMS_SVR),True
def(USE_FASTCGI),!def(USE_FASTCGI)
def(USE_MING_FLASH),True
def(USE_FASTCGI),def(USE_WMS_SVR)
def(USE_GEOS),True
!def(USE_FASTCGI),True
def(USE_PROJ),True
def(__cplusplus),True
True,def(USE_FASTCGI)
!def(USE_GD_FT),True
def(USE_GD_TTF),True
def(USE_GD_GIF),True
def(USE_AGG),True
def(notdef),True
True,def(GD_HAS_FTEX_XSHOW)
def(USE_FASTCGI),def(USE_PROJ)
True,def(USE_WMS_SVR)
def(USE_GD_PNG),True
True,def(USE_GD_TTF)
True,def(USE_GD_PNG)
True,def(USE_PROJ)
def(USE_GD_FT),True
True,def(USE_GD_FT)
