!def(USE_FASTCGI),!def(USE_TILE_API)
True,def(USE_WMS_LYR)
def(USE_GD_TTF),True
def(USE_GD_TTF),!def(USE_GD_TTF)
def(USE_AGG),True
True,!def(USE_GD_TTF)
def(USE_PROJ),True
def(USE_GD_PNG),True
def(__cplusplus),True
True,def(USE_GD_TTF)
True,def(USE_WCS_SVR)
True,def(notdef)
!def(USE_GD_TTF),True
def(USE_MING_FLASH),True
def(GD_HAS_FTEX_XSHOW),True
True,def(USE_WMS_SVR)
def(USE_GEOS),True
def(notdef),True
def(USE_FASTCGI),True
!def(USE_GD_FT),True
!def(USE_FASTCGI),True
!def(USE_AGG),True
True,def(USE_PROJ)
True,def(__cplusplus)
!def(USE_PROJ),True
def(USE_WCS_SVR),True
def(USE_GD_FT),True
def(USE_FASTCGI),!def(USE_TILE_API)
!def(USE_OGR),True
def(USE_WMS_SVR),True
