def(UWSGI_EMBEDDED),uwsgi,exclusion,Variable,5
True,uwsgi_waitfd,exclusion,Function,5
True,uwsgi_log,exclusion,Function,5
def(UWSGI_EVENT_USE_EPOLL),event_queue_init,exclusion,Function,5
True,uwsgi_concat2,exclusion,Function,5
True,uwsgi_malloc,exclusion,Function,5
True,fastrouter_manage_subscription,parameter,Function,5
True,uwsgi_cluster_add_node,exclusion,Function,5
True,uwsgi_start,exclusion,Function,5
True,uwsgi_concat3,exclusion,Function,5
True,set_harakiri,additon,Function,5
True,uwsgi_send_empty_pkt,exclusion,Function,5
True,uwsgi_nuclear_blast,exclusion,Function,5
True,harakiri,exclusion,Function,5
True,fr_get_hostname,parameter,Function,5
True,uwsgi_get_last_char,exclusion,Function,5
def(UWSGI_EVENT_USE_EPOLL),event_queue_add_fd_read,exclusion,Function,5
True,manage_string_opt,exclusion,Function,5
True,cache_command,parameter,Function,5
True,end_me,exclusion,Function,5
