!def(UWSGI_PYPY),def(HAS_NOT_PyFrame_GetLineNumber)
(def(__BIG_ENDIAN__)&def(UWSGI_SNMP)),def(UWSGI_SNMP)
True,def(__clang__)
True,def(__APPLE__)
(!def(UWSGI_PYPY)&!def(PYTHREE)),True
True,def(UWSGI_IPV6)
def(UWSGI_ASYNC),True
def(UWSGI_SCTP),True
True,def(UWSGI_ROUTING)
def(__linux__),True
def(UWSGI_ELF),True
def(__BIG_ENDIAN__),True
True,def(UWSGI_THREADING)
(def(UWSGI_EMBEDDED)&!def(UWSGI_PYPY)&!def(PYTHREE)),def(UWSGI_EMBEDDED)
def(UWSGI_SPOOLER),True
!def(UWSGI_PYPY),!def(PYTHREE)
True,def(UWSGI_PCRE)
def(PYTHREE),True
def(UWSGI_IPV6),True
True,!def(UWSGI_PYPY)
(def(UWSGI_EMBEDDED)&!def(UWSGI_PYPY)),True
def(UWSGI_SSL),True
def(UWSGI_PROXY),def(UWSGI_ROUTING)
True,def(UWSGI_ZLIB)
def(UWSGI_SENDFILE),True
def(UWSGI_ROUTING),def(UWSGI_PROXY)
def(UWSGI_ROUTING),True
True,def(UWSGI_HAS_IFADDRS)
(def(__linux__)&def(UWSGI_ROUTING)),def(UWSGI_ROUTING)
def(UWSGI_ROUTING),(def(UWSGI_MATHEVAL)&def(UWSGI_ROUTING))
def(UWSGI_UDP),(def(UWSGI_SNMP)&def(UWSGI_UDP))
(def(UWSGI_SNMP)&!def(__BIG_ENDIAN__)&(!def(__BIG_ENDIAN__)|!def(UWSGI_SNMP))),def(UWSGI_SNMP)
(def(UWSGI_SNMP)&def(UWSGI_UDP)),def(UWSGI_SNMP)
def(UWSGI_PROXY),True
def(UWSGI_SQLITE3),True
True,def(UWSGI_SSL)
!def(PYTHREE),True
(def(UWSGI_EMBEDDED)&!def(UWSGI_PYPY)),!def(UWSGI_PYPY)
def(UWSGI_UDP),True
True,!def(PYTHREE)
(def(UWSGI_SPDY)&def(UWSGI_SSL)),True
True,!def(NGX_HAVE_LITTLE_ENDIAN)
!def(__linux__),True
True,def(UWSGI_ALARM)
def(UWSGI_ALARM),def(UWSGI_PCRE)
(!def(PYTHREE)&def(UWSGI_INI)),True
def(__clang__),!def(__clang__)
def(UWSGI_PROXY),(def(__linux__)&def(UWSGI_PROXY))
True,!def(UWSGI_IPV6)
def(UWSGI_SNMP),True
def(__linux__),def(__BIG_ENDIAN__)
(def(__linux__)&def(UWSGI_PROXY)),def(UWSGI_PROXY)
True,def(__linux__)
!def(NGX_HAVE_LITTLE_ENDIAN),True
(def(UWSGI_EMBEDDED)&!def(PYTHREE)&def(UWSGI_SNMP)),True
!def(UWSGI_JSON),True
def(__BIG_ENDIAN__),!def(PYTHREE)
!def(UWSGI_ZLIB),True
!def(UWSGI_PYPY),True
def(UWSGI_LDAP),True
!def(PYTHREE),!def(UWSGI_PYPY)
True,!def(__linux__)
def(UWSGI_THREADING),True
!def(UWSGI_IPV6),True
(def(UWSGI_MATHEVAL)&def(UWSGI_ROUTING)),def(UWSGI_ROUTING)
def(UWSGI_EMBEDDED),True
True,def(UWSGI_UDP)
def(UWSGI_SNMP),def(UWSGI_UDP)
True,def(__BIG_ENDIAN__)
(def(UWSGI_EMBEDDED)&!def(PYTHREE)&def(UWSGI_SPOOLER)),True
def(UWSGI_PCRE),True
def(UWSGI_HAS_IFADDRS),True
True,def(UWSGI_EMBEDDED)
def(UWSGI_ZLIB),True
