"index","a","b","c","d","e"
"10068","True","mfprintf","additon","Function","1"
"10170","def(_FORM_DEBUG)","main","exclusion","Function","2"
"10170","True","maprintf","parameter","Function","2"
"10170","True","ParseNetrc","exclusion","Function","2"
"10170","True","endpos","exclusion","Variable","2"
"10170","True","mprintf","parameter","Function","2"
"10170","def(_FORM_DEBUG)","last_post","additon","Function","2"
"10170","True","format","exclusion","Variable","2"
"10170","True","vto","exclusion","Variable","2"
"10170","True","mfprintf","parameter","Function","2"
"10170","def(_FORM_DEBUG)","httppost","additon","Function","2"
"10178","True","mfprintf","exclusion","Function","1"
"10228","True","mfprintf","additon","Function","1"
"10459","True","base64_decode","exclusion","Function","3"
"10459","True","Curl_base64_decode","additon","Function","3"
"10459","True","mfprintf","exclusion","Function","3"
"10459","True","Curl_base64_encode","additon","Function","3"
"10459","True","base64_encode","exclusion","Function","3"
"10459","True","Curl_getFormData","additon","Function","3"
"10459","(((def(KRB4)&!def(FTP_SERVER))|(def(KRB4)&!def(FTP_SERVER)&(!def(FTP_SERVER)|!def(KRB4))))&(!def(FTP_SERVER)|!def(KRB4))&((def(KRB4)&!def(FTP_SERVER))|(def(KRB4)&!def(FTP_SERVER)&(!def(FTP_SERVER)|!def(KRB4)))|(def(FTP_SERVER)&def(KRB4))))","mfprintf","exclusion","Function","3"
"10459","True","Curl_mfprintf","additon","Function","3"
"10459","True","FormReader","exclusion","Function","3"
"10459","True","Curl_mprintf","additon","Function","3"
"10459","True","FormInit","exclusion","Function","3"
"10459","True","getFormData","exclusion","Function","3"
"10459","True","mprintf","exclusion","Function","3"
"10459","def(_FORM_DEBUG)","httppost","additon","Function","3"
"10459","True","FormParse","specifier","Function","3"
"10459","(((def(KRB4)&!def(FTP_SERVER))|(def(KRB4)&!def(FTP_SERVER)&(!def(FTP_SERVER)|!def(KRB4))))&(!def(FTP_SERVER)|!def(KRB4))&((def(KRB4)&!def(FTP_SERVER))|(def(KRB4)&!def(FTP_SERVER)&(!def(FTP_SERVER)|!def(KRB4)))|(def(FTP_SERVER)&def(KRB4))))","Curl_mfprintf","additon","Function","3"
"10459","True","Curl_mvfprintf","additon","Function","3"
"10459","True","Curl_maprintf","additon","Function","3"
"10459","True","maprintf","exclusion","Function","3"
"10459","True","mvfprintf","exclusion","Function","3"
"10460","True","vto","additon","Variable","1"
"10460","True","pos","additon","Function","1"
"10460","True","Curl_mprintf","exclusion","Function","1"
"10460","True","Curl_mvfprintf","exclusion","Function","1"
"10460","True","Curl_maprintf","exclusion","Function","1"
"10460","True","Curl_mfprintf","exclusion","Function","1"
"10460","True","format","additon","Variable","1"
"10460","True","curl_mprintf","additon","Function","1"
"10460","True","endpos","additon","Function","1"
"106","0","0","0","0","0"
"11112","True","Curl_FormInit","additon","Function","1"
"11112","True","Curl_FormReader","additon","Function","1"
"11141","def(_FORM_DEBUG)","main","additon","Function","1"
"11168","def(_FORM_DEBUG)","httppost","exclusion","Function","2"
"11168","True","pos","exclusion","Function","2"
"11168","def(_FORM_DEBUG)","last_post","exclusion","Function","2"
"11191","True","curl_mfprintf","additon","Function","1"
"11225","True","curl_mfprintf","exclusion","Function","1"
"11257","True","curl_mfprintf","additon","Function","1"
"11393","True","curl_mfprintf","parameter","Function","2"
"11393","True","curl_mvfprintf","parameter","Function","2"
"11393","True","Curl_base64_decode","parameter","Function","2"
"11393","True","vto","exclusion","Variable","2"
"11393","True","curl_maprintf","parameter","Function","2"
"11393","True","FormAdd","additon","Function","2"
"11393","True","endpos","exclusion","Variable","2"
"11393","True","FormParse","exclusion","Function","2"
"11393","True","curl_mprintf","parameter","Function","2"
"11393","True","format","exclusion","Variable","2"
"11393","!def(HAVE_STRTOK_R)","Curl_strtok_r","parameter","Function","2"
"11393","True","Curl_base64_encode","parameter","Function","2"
"11469","True","Curl_cookie_add","parameter","Function","1"
"11502","True","nonblock","parameter","Function","1"
"11503","True","FormAdd","specifier","Function","1"
"11503","True","curl_mfprintf","exclusion","Function","1"
"11503","True","nonblock","parameter","Function","1"
"11504","True","nonblock","parameter","Function","1"
"11505","True","nonblock","parameter","Function","1"
"11506","True","nonblock","parameter","Function","1"
"11507","True","nonblock","parameter","Function","1"
"11508","True","nonblock","parameter","Function","1"
"11509","True","nonblock","parameter","Function","1"
"11510","True","nonblock","parameter","Function","1"
"11511","True","nonblock","parameter","Function","1"
"11512","True","nonblock","parameter","Function","1"
"11513","True","nonblock","parameter","Function","1"
"11514","True","nonblock","parameter","Function","1"
"11515","True","nonblock","parameter","Function","1"
"11516","True","nonblock","parameter","Function","1"
"11517","True","nonblock","parameter","Function","1"
"11518","True","nonblock","parameter","Function","1"
"11519","True","nonblock","parameter","Function","1"
"11520","True","nonblock","parameter","Function","1"
"11521","True","nonblock","parameter","Function","1"
"11522","True","nonblock","parameter","Function","1"
"11523","True","nonblock","parameter","Function","1"
"11524","True","nonblock","parameter","Function","1"
"11525","True","nonblock","parameter","Function","1"
"11526","True","nonblock","parameter","Function","1"
"11527","True","nonblock","parameter","Function","1"
"11528","True","nonblock","parameter","Function","1"
"11529","True","nonblock","parameter","Function","1"
"11530","True","nonblock","parameter","Function","1"
"11531","True","nonblock","parameter","Function","1"
"11532","True","nonblock","parameter","Function","1"
"11533","True","nonblock","parameter","Function","1"
"11534","True","nonblock","parameter","Function","1"
"11535","True","nonblock","parameter","Function","1"
"11536","True","nonblock","parameter","Function","1"
"11537","True","nonblock","parameter","Function","1"
"11538","True","nonblock","parameter","Function","1"
"11539","True","nonblock","parameter","Function","1"
"11540","True","nonblock","parameter","Function","1"
"11541","True","nonblock","parameter","Function","1"
"11541","True","curl_mfprintf","additon","Function","1"
"11542","True","nonblock","parameter","Function","1"
"11543","True","nonblock","parameter","Function","1"
"11544","True","nonblock","parameter","Function","1"
