"index","pe","weight","avg"
1000,2,2,1
1001,2,2,1
1002,2,2,1
1003,2,2,1
1004,2,2,1
1005,2,2,1
1006,2,2,1
1007,12,13,1.08333333333333
1008,1,1,1
1009,6,6,1
1010,1,1,1
1011,1,1,1
1012,1,1,1
1013,1,1,1
1014,1,1,1
1015,1,1,1
1016,1,1,1
1017,1,1,1
1018,1,1,1
1019,1,1,1
1020,1,1,1
1021,1,1,1
1022,2,2,1
1023,1,1,1
1024,1,1,1
1025,2,2,1
1026,1,1,1
1027,1,1,1
1028,4,4,1
1029,1,1,1
1030,1,1,1
1031,1,1,1
1032,1,1,1
1033,4,4,1
1034,1,1,1
1035,1,1,1
1036,1,1,1
1037,1,1,1
1038,1,1,1
1039,1,1,1
1040,1,1,1
1041,1,1,1
1042,1,1,1
1043,1,1,1
1044,1,1,1
1045,1,1,1
1046,1,1,1
1047,1,1,1
1048,1,1,1
1049,1,1,1
1050,1,1,1
1051,1,1,1
1052,1,1,1
1053,1,1,1
1054,1,1,1
1055,1,1,1
1056,1,1,1
1057,1,1,1
1058,1,1,1
1059,1,1,1
1060,1,1,1
1061,1,1,1
1062,1,1,1
1063,1,1,1
1064,1,1,1
1065,1,1,1
1066,1,1,1
1067,1,1,1
1068,2,2,1
1069,1,1,1
1070,1,1,1
1071,1,1,1
1072,1,1,1
1073,1,1,1
1074,5,5,1
1075,1,1,1
1076,1,1,1
1077,1,1,1
1078,1,1,1
1079,1,1,1
1080,1,1,1
1081,1,1,1
1082,1,1,1
1083,1,1,1
1084,1,1,1
1085,1,1,1
1086,1,1,1
1087,1,1,1
1088,1,1,1
1089,1,1,1
1090,2,2,1
1091,15,16,1.06666666666667
1092,1,1,1
1093,1,1,1
1094,1,1,1
1095,1,1,1
1096,12,13,1.08333333333333
1097,1,1,1
1098,1,1,1
1099,15,16,1.06666666666667
1107,19,20,1.05263157894737
1125,2,2,1
1131,6,6,1
1137,1,1,1
1149,22,23,1.04545454545455
1150,17,17,1
1151,15,16,1.06666666666667
1152,1,1,1
1153,1,1,1
1154,1,1,1
1155,1,1,1
1156,1,1,1
1157,1,1,1
1158,1,1,1
1159,2,2,1
1160,1,1,1
1161,1,1,1
1162,1,1,1
1163,1,1,1
1164,1,1,1
1165,1,1,1
1166,1,1,1
1167,1,1,1
1168,1,1,1
1169,1,1,1
1170,1,1,1
1171,4,4,1
1172,1,1,1
1173,1,1,1
1174,1,1,1
1175,1,1,1
1176,1,1,1
1177,1,1,1
1178,1,1,1
1179,1,1,1
1180,1,1,1
1181,1,1,1
1182,1,1,1
1183,2,2,1
1184,1,1,1
1185,1,1,1
1186,1,1,1
1187,1,1,1
1188,1,1,1
1189,29,30,1.03448275862069
1190,3,3,1
1191,3,3,1
1192,3,3,1
1193,3,3,1
1194,3,3,1
1195,5,5,1
1196,21,21,1
1197,21,22,1.04761904761905
1200,1,1,1
1205,19,19,1
1206,3,3,1
1207,3,3,1
1208,3,3,1
1209,6,6,1
1210,3,3,1
1211,3,3,1
1212,3,3,1
1213,3,3,1
1214,3,3,1
1215,3,3,1
1216,3,3,1
1217,17,17,1
1218,21,21,1
1219,3,3,1
1220,3,3,1
1221,3,3,1
1222,3,3,1
1223,7,7,1
1224,3,3,1
1225,3,3,1
1226,15,15,1
1227,3,3,1
1228,3,3,1
1229,3,3,1
1230,3,3,1
1231,3,3,1
1232,3,3,1
1233,3,3,1
1234,4,4,1
1235,3,3,1
1236,5,5,1
1237,6,6,1
1238,3,3,1
1239,3,3,1
1240,3,3,1
1241,3,3,1
1242,3,3,1
1243,3,3,1
1244,3,3,1
1245,3,3,1
1246,3,3,1
1247,3,3,1
1248,3,3,1
1249,3,3,1
1250,3,3,1
1251,3,3,1
1252,3,3,1
1253,3,3,1
1254,3,3,1
1255,3,3,1
1256,3,3,1
1257,3,3,1
1258,3,3,1
1259,3,3,1
1260,3,3,1
1261,3,3,1
1262,3,3,1
1263,3,3,1
1264,3,3,1
1265,3,3,1
1266,4,4,1
1267,3,3,1
1268,18,19,1.05555555555556
1269,3,3,1
1270,3,3,1
1271,3,3,1
1272,3,3,1
1273,3,3,1
1274,3,3,1
1275,3,3,1
1276,4,4,1
1277,3,3,1
1278,3,3,1
1279,3,3,1
1280,3,3,1
1281,3,3,1
1282,3,3,1
1283,3,3,1
1284,3,3,1
1285,3,3,1
1286,3,3,1
1287,3,3,1
1288,3,3,1
1289,3,3,1
1290,4,4,1
1291,3,3,1
1292,3,3,1
1293,3,3,1
1294,3,3,1
1295,3,3,1
1296,3,3,1
1297,3,3,1
1298,3,3,1
1299,3,3,1
1300,3,3,1
1301,3,3,1
1302,3,3,1
1303,3,3,1
1304,3,3,1
1305,3,3,1
1306,3,3,1
1307,3,3,1
1308,3,3,1
1309,3,3,1
1310,3,3,1
1311,3,3,1
1312,3,3,1
1313,3,3,1
1314,3,3,1
1315,3,3,1
1316,3,3,1
1317,3,3,1
1318,3,3,1
1319,3,3,1
1320,3,3,1
1321,3,3,1
1322,3,3,1
1323,3,3,1
1324,3,3,1
1325,3,3,1
1326,3,3,1
1327,6,6,1
1328,5,5,1
1329,3,3,1
1330,3,3,1
1331,3,3,1
1332,5,5,1
