"index","pe","weight","avg"
1000,3,3,1
1001,1,1,1
1002,3,3,1
1003,3,3,1
1004,1,1,1
1005,1,1,1
1006,1,1,1
1007,3,3,1
1008,1,1,1
1009,1,1,1
1010,1,1,1
1011,1,1,1
1012,1,1,1
1013,1,1,1
1014,1,1,1
1015,1,1,1
1016,3,3,1
1017,1,1,1
1018,1,1,1
1019,1,1,1
1020,1,1,1
1021,1,1,1
1022,1,1,1
1023,1,1,1
1024,1,1,1
1025,1,1,1
1026,1,1,1
1027,1,1,1
1028,1,1,1
1029,1,1,1
1030,1,1,1
1031,1,1,1
1032,1,1,1
1033,1,1,1
1034,1,1,1
1035,1,1,1
1036,1,1,1
1037,3,3,1
1038,3,3,1
1039,1,1,1
1040,1,1,1
1041,1,1,1
1042,1,1,1
1043,3,3,1
1044,1,1,1
1045,1,1,1
1046,3,3,1
1047,1,1,1
1048,1,1,1
1049,3,3,1
105,2,2,1
1050,1,1,1
1051,1,1,1
1052,3,3,1
1053,1,1,1
1054,1,1,1
1055,1,1,1
1056,1,1,1
1057,1,1,1
1058,1,1,1
1059,1,1,1
106,2,2,1
1060,1,1,1
1061,1,1,1
1062,1,1,1
1063,1,1,1
1064,1,1,1
1065,1,1,1
1066,1,1,1
1067,1,1,1
1068,1,1,1
1069,3,3,1
1070,1,1,1
1071,1,1,1
1072,1,1,1
1073,1,1,1
1074,1,1,1
1075,1,1,1
1076,1,1,1
1077,1,1,1
1078,1,1,1
1079,1,1,1
1080,1,1,1
1081,5,5,1
1082,1,1,1
1083,2,2,1
1084,3,3,1
1085,1,1,1
1086,1,1,1
1087,1,1,1
1088,1,1,1
1089,1,1,1
1090,1,1,1
1091,3,3,1
1092,2,2,1
1093,1,1,1
1094,1,1,1
1095,1,1,1
1096,3,3,1
1097,1,1,1
1098,1,1,1
1099,1,1,1
1100,1,1,1
1101,1,1,1
1102,1,1,1
1103,1,1,1
1104,1,1,1
1105,1,1,1
1106,1,1,1
1107,1,1,1
1108,1,1,1
1109,2,2,1
1110,3,3,1
1111,1,1,1
1112,1,1,1
1113,2,2,1
1114,7,7,1
1115,7,7,1
1116,1,1,1
1117,1,1,1
1118,1,1,1
1119,1,1,1
1120,1,1,1
1121,1,1,1
1122,1,1,1
1123,1,1,1
1124,6,6,1
1125,3,3,1
1126,1,1,1
1127,2,2,1
1128,1,1,1
1129,4,4,1
1130,1,1,1
1131,1,1,1
1132,1,1,1
1133,3,3,1
1151,3,3,1
1152,1,1,1
1153,3,3,1
1154,3,3,1
1155,1,1,1
1156,1,1,1
1157,1,1,1
1158,2,3,1.5
1159,1,1,1
1160,1,1,1
1161,1,1,1
1162,1,1,1
1163,3,3,1
1164,1,1,1
1165,1,1,1
1166,1,1,1
1167,1,1,1
1168,1,1,1
1169,1,1,1
1170,3,3,1
1171,4,4,1
1172,5,5,1
1173,1,1,1
1174,1,1,1
1175,1,1,1
1176,1,1,1
1177,1,1,1
1178,1,1,1
1179,1,1,1
1180,1,1,1
1181,1,1,1
1182,1,1,1
1183,1,1,1
1184,1,1,1
1185,1,1,1
1186,1,1,1
1187,1,1,1
1188,1,1,1
1189,1,1,1
1190,1,1,1
1191,1,1,1
1192,1,1,1
1193,1,1,1
1194,1,1,1
1195,1,1,1
1196,1,1,1
1197,1,1,1
1198,1,1,1
1199,1,1,1
1200,1,1,1
1201,1,1,1
1202,8,9,1.125
1220,2,2,1
1228,2,2,1
1232,2,2,1
1233,2,2,1
1244,2,2,1
1280,2,2,1
1291,2,2,1
130,2,2,1
1303,2,2,1
131,2,2,1
1322,2,2,1
1337,2,2,1
1352,2,2,1
1353,2,2,1
1363,2,2,1
1384,2,3,1.5
1386,2,2,1
1393,2,2,1
141,4,4,1
1411,3,3,1
1415,2,2,1
1416,2,2,1
1418,2,2,1
1422,5,5,1
1430,2,2,1
1447,4,4,1
1472,2,2,1
1474,2,2,1
1485,2,2,1
1495,2,2,1
1496,2,2,1
1497,1,1,1
150,2,2,1
1500,2,2,1
1501,2,2,1
