"index","pe","weight","avg"
10068,3,3,1
10170,10,10,1
10178,1,1,1
10228,1,1,1
10459,18,20,1.11111111111111
10460,9,9,1
11112,2,2,1
11141,1,1,1
11168,3,3,1
11191,1,1,1
11225,1,1,1
11257,1,1,1
11393,12,12,1
11469,1,1,1
11502,1,1,1
11503,3,3,1
11504,1,1,1
11505,1,1,1
11506,1,1,1
11507,1,1,1
11508,1,1,1
11509,1,1,1
11510,1,1,1
11511,1,1,1
11512,1,1,1
11513,1,1,1
11514,1,1,1
11515,1,1,1
11516,1,1,1
11517,1,1,1
11518,1,1,1
11519,1,1,1
11520,1,1,1
11521,1,1,1
11522,1,1,1
11523,1,1,1
11524,1,1,1
11525,1,1,1
11526,1,1,1
11527,1,1,1
11528,1,1,1
11529,1,1,1
11530,1,1,1
11531,1,1,1
11532,1,1,1
11533,1,1,1
11534,1,1,1
11535,1,1,1
11536,1,1,1
11537,1,1,1
11538,1,1,1
11539,1,1,1
11540,1,1,1
11541,2,2,1
11542,1,1,1
11543,1,1,1
11544,1,1,1
11545,1,1,1
11546,1,1,1
11547,1,1,1
11548,1,1,1
11549,1,1,1
11550,2,2,1
11551,1,1,1
11552,1,1,1
11553,1,1,1
11554,1,1,1
11555,1,1,1
11556,1,1,1
11557,1,1,1
11558,1,1,1
11559,1,1,1
11560,1,1,1
11561,1,1,1
11562,1,1,1
11563,1,1,1
11564,1,1,1
11565,1,1,1
11566,1,1,1
11567,1,1,1
11568,1,1,1
11569,1,1,1
11570,1,1,1
11571,1,1,1
11572,1,1,1
11573,1,1,1
11574,1,1,1
11575,1,1,1
11576,1,1,1
11577,1,1,1
11578,1,1,1
11579,1,1,1
11580,1,1,1
11581,1,1,1
11582,1,1,1
11583,1,1,1
11584,1,1,1
11585,3,3,1
11586,1,1,1
11587,1,1,1
11588,1,1,1
11589,1,1,1
11590,1,1,1
11591,2,2,1
11592,1,1,1
11593,1,1,1
11594,1,1,1
11595,1,1,1
11653,4,4,1
11889,1,1,1
12080,1,1,1
12135,1,1,1
12187,3,3,1
12252,1,1,1
12261,1,1,1
12267,1,1,1
12269,1,1,1
12390,1,1,1
12480,3,3,1
12628,2,2,1
12638,2,2,1
12981,2,2,1
13029,2,2,1
13171,2,2,1
13201,2,2,1
13219,1,1,1
13260,1,1,1
13471,1,1,1
13487,1,1,1
13490,1,1,1
13596,1,1,1
13698,1,1,1
13699,1,1,1
1382,2,2,1
13888,2,2,1
139,2,2,1
13903,6,6,1
14010,1,1,1
14108,1,1,1
14110,3,3,1
14182,2,2,1
14238,2,2,1
14285,1,1,1
14322,1,1,1
14385,1,1,1
14389,2,2,1
14390,5,5,1
14391,1,1,1
14392,1,1,1
14447,1,2,2
14553,1,1,1
14554,1,1,1
14575,2,2,1
14576,2,2,1
1461,1,1,1
14802,1,1,1
14841,1,1,1
14876,4,4,1
14899,1,1,1
1495,1,1,1
15040,3,3,1
15054,1,1,1
15147,3,3,1
15153,4,4,1
15158,1,1,1
15253,2,2,1
15255,1,1,1
1527,1,1,1
15296,1,1,1
15409,1,1,1
155,1,1,1
15535,1,1,1
15619,4,5,1.25
15630,1,1,1
15662,20,20,1
15686,14,14,1
16166,5,5,1
16418,4,4,1
16422,4,4,1
16597,4,4,1
16611,4,4,1
16622,1,1,1
1663,3,3,1
16644,11,13,1.18181818181818
16908,1,1,1
16935,1,1,1
16938,1,1,1
16974,4,4,1
17004,4,4,1
17086,4,4,1
17100,4,4,1
17153,4,4,1
17174,9,9,1
17175,8,8,1
17176,5,5,1
17277,1,1,1
17279,2,2,1
1739,1,1,1
17644,1,1,1
17650,1,1,1
1770,1,1,1
17708,1,1,1
1771,1,1,1
17717,2,2,1
1772,1,1,1
17728,1,1,1
1773,3,3,1
1774,1,1,1
1775,1,1,1
1776,1,1,1
1777,1,1,1
1778,1,1,1
1779,1,1,1
1780,1,1,1
1781,1,1,1
1782,1,1,1
1783,1,1,1
1784,1,1,1
1785,1,1,1
1786,1,1,1
1787,1,1,1
1788,1,1,1
1789,1,1,1
1790,1,1,1
1791,1,1,1
1792,1,1,1
1793,1,1,1
1794,1,1,1
1795,1,1,1
1796,1,1,1
1797,1,1,1
1798,1,1,1
1799,1,1,1
1800,1,1,1
1801,1,1,1
1802,1,1,1
1803,1,1,1
1804,1,1,1
1805,1,1,1
1806,1,1,1
1807,1,1,1
1808,1,1,1
1809,1,1,1
1810,1,1,1
18107,2,2,1
1811,5,5,1
1812,1,1,1
1813,1,1,1
1814,1,1,1
1815,1,1,1
1816,1,1,1
1817,1,1,1
1818,1,1,1
18184,1,1,1
1819,1,1,1
1820,1,1,1
1821,1,1,1
1822,1,1,1
1823,1,1,1
1824,1,1,1
1825,1,1,1
1826,1,1,1
1827,1,1,1
1828,1,1,1
1829,1,1,1
1830,1,1,1
1831,1,1,1
18311,2,2,1
1832,1,1,1
1833,1,1,1
18337,6,6,1
1834,1,1,1
1835,1,1,1
1836,1,1,1
18368,2,2,1
1837,1,1,1
1838,1,1,1
1839,1,1,1
1840,1,1,1
1841,1,1,1
1842,1,1,1
18422,7,7,1
1843,1,1,1
1844,1,1,1
1845,1,1,1
1846,1,1,1
1847,1,1,1
1848,1,1,1
1849,1,1,1
1850,1,1,1
1851,1,1,1
1852,1,1,1
1853,1,1,1
1854,1,1,1
1855,2,2,1
1856,1,1,1
1857,1,1,1
1858,1,1,1
1859,1,1,1
1860,1,1,1
1861,1,1,1
18613,1,1,1
1862,1,1,1
1863,1,1,1
1864,1,1,1
1865,1,1,1
187,1,1,1
18858,1,1,1
18902,1,1,1
19099,1,1,1
19170,12,12,1
19172,1,1,1
1919,1,1,1
19229,9,9,1
1923,7,7,1
19283,6,6,1
19354,2,2,1
19462,6,6,1
19473,4,4,1
19552,1,1,1
21,4,4,1
213,1,1,1
214,1,1,1
2350,1,1,1
2457,3,3,1
2522,1,1,1
2634,1,1,1
2701,2,2,1
2729,8,8,1
2757,1,1,1
2759,2,2,1
2771,2,2,1
2803,2,3,1.5
2843,2,2,1
2850,1,1,1
3,2,2,1
3023,4,4,1
3043,4,4,1
3088,3,3,1
3121,1,1,1
3155,2,3,1.5
3248,1,1,1
3265,2,2,1
3290,2,2,1
3359,2,2,1
3378,2,2,1
338,2,2,1
3393,2,2,1
3401,3,3,1
3459,1,1,1
3491,1,1,1
3493,2,2,1
3498,1,1,1
3526,1,1,1
3535,1,1,1
3545,1,1,1
3601,1,1,1
3604,3,3,1
3622,1,1,1
3656,2,2,1
3663,2,2,1
3664,2,2,1
3693,5,6,1.2
3779,9,9,1
3783,5,5,1
3784,4,4,1
3786,2,2,1
3787,6,6,1
3820,3,3,1
3841,1,1,1
3845,5,5,1
3856,6,6,1
3860,14,21,1.5
3886,1,1,1
3892,4,4,1
3909,5,5,1
3916,5,5,1
3928,7,7,1
3934,8,9,1.125
3941,3,4,1.33333333333333
3942,6,6,1
3944,6,6,1
3966,4,4,1
4019,5,5,1
4091,2,2,1
4109,5,5,1
4112,4,4,1
4192,4,4,1
4215,1,1,1
4224,6,6,1
4235,8,8,1
4249,3,4,1.33333333333333
4373,4,4,1
4388,1,1,1
440,7,7,1
4408,2,2,1
4412,1,1,1
4436,2,2,1
4440,1,1,1
4448,4,4,1
4455,1,1,1
4457,7,7,1
4465,6,6,1
448,1,1,1
4498,1,1,1
4565,1,1,1
4577,1,1,1
4585,2,2,1
4596,3,4,1.33333333333333
4603,11,17,1.54545454545455
4606,1,1,1
4607,7,7,1
4638,2,2,1
4652,1,1,1
4668,3,3,1
4699,3,3,1
4703,5,5,1
4707,6,7,1.16666666666667
4726,1,1,1
4727,1,1,1
4728,1,1,1
4729,1,1,1
4730,1,1,1
4731,1,1,1
4732,1,1,1
