"index","pe","weight","avg"
10,5,5,1
100,10,10,1
1000,5,5,1
1001,5,5,1
1002,5,5,1
1003,5,5,1
1004,6,6,1
1005,5,5,1
1006,5,5,1
1007,5,5,1
1008,6,6,1
1009,5,5,1
101,4,4,1
1010,5,5,1
1011,5,5,1
1012,5,5,1
1013,5,5,1
1014,5,5,1
1015,6,6,1
1016,5,5,1
1017,6,6,1
1018,5,5,1
1019,5,5,1
102,4,4,1
1020,5,5,1
1021,5,5,1
1022,5,5,1
1023,5,5,1
1024,5,5,1
1025,5,5,1
1026,5,5,1
1027,5,5,1
1028,5,5,1
1029,5,5,1
103,4,4,1
1030,5,5,1
1031,5,5,1
1032,5,5,1
1033,6,6,1
1034,5,5,1
1035,5,5,1
1036,5,5,1
1037,5,5,1
1038,5,5,1
1039,5,5,1
104,9,9,1
1040,5,5,1
1041,5,5,1
1042,7,7,1
1043,9,9,1
1044,5,5,1
1045,5,5,1
1046,5,5,1
1047,5,5,1
1048,5,5,1
1049,5,5,1
105,8,8,1
1050,5,5,1
1051,5,5,1
1052,5,5,1
1053,5,5,1
1054,5,5,1
1055,5,5,1
1056,5,5,1
1057,5,5,1
1058,5,5,1
1059,6,6,1
106,4,4,1
1060,5,5,1
1061,5,5,1
1062,5,5,1
1063,5,5,1
1064,5,5,1
1065,5,5,1
1066,5,5,1
1067,5,5,1
1068,5,5,1
1069,5,5,1
107,4,4,1
1070,5,5,1
1071,5,5,1
1072,5,5,1
1073,5,5,1
1074,5,5,1
1075,5,5,1
1076,5,5,1
1077,9,9,1
1078,6,6,1
1079,6,6,1
108,4,4,1
1080,6,6,1
1081,10,10,1
1082,9,9,1
1083,6,6,1
1084,6,6,1
1085,6,6,1
1086,6,6,1
1087,6,6,1
1088,6,6,1
1089,6,6,1
109,8,8,1
1090,6,6,1
1091,6,6,1
1092,6,6,1
1093,6,6,1
1094,6,6,1
1095,6,6,1
1096,6,6,1
1097,9,9,1
1098,6,6,1
1099,6,6,1
11,5,5,1
110,4,4,1
1100,6,6,1
1101,6,6,1
1102,6,6,1
1103,6,6,1
1104,6,6,1
1105,6,6,1
1106,6,6,1
1107,6,6,1
1108,6,6,1
1109,6,6,1
111,6,6,1
1110,6,6,1
1111,6,6,1
1112,6,6,1
1113,6,6,1
1114,6,6,1
1115,6,6,1
1116,6,6,1
1117,6,6,1
1118,6,6,1
1119,6,6,1
112,4,4,1
1120,6,6,1
1121,9,9,1
1122,6,6,1
1123,6,6,1
1124,6,6,1
1125,8,8,1
1126,6,6,1
1127,6,6,1
1128,6,6,1
1129,6,6,1
113,4,4,1
1130,6,6,1
1131,6,6,1
1132,6,6,1
1133,6,6,1
1134,9,9,1
1135,6,6,1
1136,6,6,1
1137,6,6,1
1138,6,6,1
1139,6,6,1
114,4,4,1
1140,11,11,1
1141,6,6,1
1142,6,6,1
1143,6,6,1
1144,6,6,1
1145,6,6,1
1146,6,6,1
1147,6,6,1
1148,6,6,1
1149,6,6,1
115,4,4,1
1150,6,6,1
1151,16,16,1
1152,9,9,1
1153,6,6,1
1154,6,6,1
1155,7,7,1
1156,6,6,1
1157,8,8,1
1158,6,6,1
1159,6,6,1
