"index","pe","weight","avg"
1014,2,2,1
1017,1,1,1
1018,6,6,1
1036,2,3,1.5
1037,6,6,1
104,8,8,1
1043,5,5,1
1045,2,4,2
1048,2,2,1
1050,16,19,1.1875
1067,1,1,1
1068,1,1,1
1069,1,1,1
1070,2,2,1
1084,1,1,1
1114,1,2,2
1123,1,1,1
1127,1,1,1
1132,2,2,1
1157,5,6,1.2
149,5,5,1
166,2,2,1
178,4,4,1
181,2,2,1
198,2,2,1
2,5,5,1
207,2,2,1
216,1,1,1
220,2,2,1
221,2,2,1
225,2,2,1
229,1,1,1
230,6,6,1
232,5,5,1
242,3,3,1
244,5,5,1
247,4,5,1.25
249,4,4,1
250,3,3,1
253,4,5,1.25
255,7,7,1
257,4,4,1
259,8,8,1
268,8,8,1
282,2,2,1
293,8,8,1
3,1,1,1
300,4,4,1
301,8,8,1
307,8,8,1
31,3,3,1
32,1,1,1
322,9,9,1
363,3,3,1
37,4,4,1
374,1,1,1
385,1,1,1
387,23,23,1
388,25,25,1
390,4,4,1
391,1,1,1
393,38,40,1.05263157894737
394,9,9,1
395,27,27,1
403,32,33,1.03125
404,7,9,1.28571428571429
405,31,35,1.12903225806452
406,26,27,1.03846153846154
407,9,9,1
412,18,20,1.11111111111111
413,62,67,1.08064516129032
416,59,65,1.10169491525424
417,64,70,1.09375
419,65,71,1.09230769230769
426,63,67,1.06349206349206
429,62,66,1.06451612903226
432,6,6,1
433,6,6,1
435,59,63,1.06779661016949
437,62,66,1.06451612903226
441,61,67,1.09836065573771
444,59,64,1.08474576271186
446,64,68,1.0625
447,66,70,1.06060606060606
448,62,68,1.09677419354839
449,8,8,1
451,2,2,1
453,10,12,1.2
454,2,2,1
455,64,69,1.078125
456,56,61,1.08928571428571
458,57,63,1.10526315789474
460,57,61,1.07017543859649
464,1,1,1
467,60,64,1.06666666666667
469,62,67,1.08064516129032
47,4,4,1
472,63,69,1.0952380952381
473,3,4,1.33333333333333
477,63,67,1.06349206349206
478,66,70,1.06060606060606
481,62,68,1.09677419354839
484,58,64,1.10344827586207
485,62,68,1.09677419354839
486,2,2,1
489,61,67,1.09836065573771
490,56,60,1.07142857142857
491,59,63,1.06779661016949
492,59,63,1.06779661016949
5,3,3,1
500,63,67,1.06349206349206
501,2,3,1.5
502,58,64,1.10344827586207
508,62,68,1.09677419354839
519,61,67,1.09836065573771
520,53,59,1.11320754716981
523,57,63,1.10526315789474
535,2,2,1
536,2,2,1
540,2,2,1
541,65,71,1.09230769230769
544,65,69,1.06153846153846
545,59,63,1.06779661016949
547,14,14,1
552,53,59,1.11320754716981
556,60,65,1.08333333333333
559,12,12,1
568,2,2,1
569,7,7,1
584,2,2,1
595,9,10,1.11111111111111
621,35,39,1.11428571428571
627,55,59,1.07272727272727
628,61,65,1.0655737704918
65,2,2,1
650,16,20,1.25
651,12,16,1.33333333333333
655,5,5,1
67,9,9,1
673,3,3,1
677,23,28,1.21739130434783
679,6,6,1
681,1,2,2
685,7,8,1.14285714285714
69,6,6,1
693,2,2,1
720,7,8,1.14285714285714
730,5,5,1
732,5,5,1
760,5,5,1
769,6,7,1.16666666666667
770,20,25,1.25
786,6,7,1.16666666666667
788,3,3,1
808,5,7,1.4
813,2,2,1
841,2,3,1.5
850,1,1,1
857,2,3,1.5
879,2,2,1
880,2,2,1
893,51,57,1.11764705882353
900,1,1,1
91,5,5,1
92,1,1,1
931,3,3,1
938,6,7,1.16666666666667
945,8,8,1
946,48,54,1.125
949,2,4,2
953,1,2,2
977,8,8,1
98,2,2,1
981,2,2,1
991,2,4,2
995,4,7,1.75
