"index","pe","weight","avg"
114,1,1,1
119,5,5,1
136,2,2,1
143,1,1,1
148,2,2,1
150,1,1,1
151,1,1,1
163,2,2,1
181,2,2,1
185,3,3,1
206,2,2,1
230,3,3,1
250,1,1,1
251,3,3,1
252,1,1,1
253,2,2,1
266,4,4,1
307,3,3,1
311,3,3,1
314,1,1,1
319,3,3,1
343,5,5,1
375,1,1,1
393,1,1,1
409,1,1,1
426,4,4,1
442,3,3,1
446,1,1,1
451,1,1,1
507,1,1,1
54,1,1,1
546,1,1,1
554,1,1,1
555,1,1,1
568,1,1,1
59,1,1,1
728,7,7,1
729,23,26,1.1304347826087
731,4,6,1.5
734,9,9,1
739,2,2,1
743,2,2,1
745,1,1,1
751,3,3,1
757,15,16,1.06666666666667
759,4,6,1.5
760,1,1,1
761,2,2,1
762,1,1,1
763,1,1,1
764,1,1,1
765,1,1,1
766,2,2,1
767,1,1,1
768,3,3,1
769,1,1,1
770,1,1,1
771,1,1,1
772,1,1,1
773,1,1,1
774,1,1,1
775,1,1,1
776,1,1,1
777,1,1,1
778,1,1,1
779,2,3,1.5
780,1,1,1
781,1,1,1
782,1,1,1
783,1,1,1
784,1,1,1
785,1,1,1
786,1,1,1
787,1,1,1
788,1,1,1
789,1,1,1
790,3,3,1
791,1,1,1
792,1,1,1
793,1,1,1
794,1,1,1
795,1,1,1
796,1,1,1
797,1,1,1
798,1,1,1
799,1,1,1
800,1,1,1
801,1,1,1
802,1,1,1
803,1,1,1
804,1,1,1
805,11,16,1.45454545454545
806,1,1,1
807,1,1,1
808,1,1,1
809,1,1,1
810,1,1,1
811,1,1,1
812,1,1,1
813,1,1,1
814,1,1,1
815,1,1,1
816,1,1,1
817,3,3,1
818,1,1,1
819,1,1,1
820,1,1,1
821,1,1,1
822,1,1,1
823,1,1,1
824,1,1,1
825,1,1,1
826,1,1,1
827,1,1,1
828,1,1,1
829,1,1,1
83,1,1,1
830,1,1,1
831,1,1,1
832,1,1,1
833,1,1,1
834,1,1,1
835,1,1,1
836,1,1,1
837,1,1,1
838,3,3,1
839,1,1,1
840,1,1,1
841,2,2,1
842,1,1,1
843,1,1,1
844,4,4,1
845,1,1,1
846,3,3,1
847,1,1,1
848,1,1,1
849,1,1,1
850,1,1,1
851,1,1,1
852,1,1,1
853,1,1,1
854,1,1,1
855,1,1,1
856,1,1,1
857,2,2,1
858,1,1,1
859,1,1,1
860,1,1,1
861,1,1,1
862,1,1,1
863,1,1,1
864,1,1,1
865,1,1,1
866,1,1,1
867,1,1,1
868,1,1,1
869,1,1,1
870,1,1,1
871,1,1,1
872,1,1,1
873,1,1,1
874,1,1,1
875,3,3,1
876,1,1,1
877,1,1,1
878,1,1,1
879,1,1,1
880,1,1,1
881,1,1,1
882,1,1,1
883,1,1,1
884,1,1,1
885,1,1,1
886,1,1,1
887,1,1,1
888,1,1,1
889,1,1,1
89,1,1,1
890,1,1,1
891,3,3,1
892,1,1,1
893,1,1,1
894,1,1,1
895,1,1,1
896,1,1,1
897,1,1,1
898,1,1,1
899,1,1,1
900,3,3,1
901,3,3,1
902,1,1,1
903,1,1,1
904,1,1,1
905,1,1,1
906,1,1,1
907,1,1,1
908,1,1,1
909,1,1,1
910,1,1,1
911,1,1,1
912,5,5,1
913,1,1,1
914,1,1,1
915,1,1,1
916,1,1,1
917,1,1,1
918,1,1,1
919,14,14,1
920,1,1,1
921,1,1,1
922,1,1,1
923,2,2,1
924,1,1,1
925,1,1,1
926,1,1,1
927,2,3,1.5
928,1,1,1
929,1,1,1
930,8,8,1
931,1,1,1
932,1,1,1
933,1,1,1
934,5,8,1.6
935,1,1,1
936,1,1,1
937,1,1,1
938,1,1,1
