"index","pe","weight","avg"
1290,1,1,1
1291,1,1,1
1390,1,1,1
1391,1,1,1
1435,1,1,1
1436,1,1,1
1500,1,1,1
1501,1,1,1
1511,2,2,1
1553,1,1,1
173,3,3,1
178,5,5,1
1831,2,2,1
1840,1,1,1
1853,1,1,1
187,2,2,1
1940,1,1,1
1950,1,1,1
1957,2,2,1
1958,2,2,1
1959,1,1,1
196,2,2,1
1980,2,2,1
1981,2,2,1
1985,2,2,1
1987,1,1,1
1996,3,3,1
1998,1,1,1
2012,2,2,1
2019,2,2,1
2024,1,1,1
2028,1,1,1
2070,2,2,1
208,1,1,1
2105,3,3,1
2111,1,1,1
2124,1,1,1
2137,1,1,1
2142,1,1,1
2191,1,1,1
2194,1,1,1
2199,1,1,1
223,2,2,1
2265,2,2,1
2266,3,3,1
2267,1,1,1
2283,4,4,1
2298,1,1,1
2356,2,2,1
2366,2,2,1
2368,1,1,1
2389,2,2,1
239,3,3,1
2391,3,3,1
2398,4,4,1
240,2,2,1
2408,1,1,1
2429,2,2,1
2464,1,1,1
2475,3,3,1
2491,3,3,1
2510,1,1,1
2514,2,2,1
2525,2,2,1
2531,1,1,1
2556,4,4,1
2569,3,3,1
2578,1,1,1
2583,3,3,1
2593,1,1,1
2600,3,3,1
2612,4,4,1
2613,1,1,1
2617,2,2,1
2626,1,1,1
2648,2,2,1
2668,3,3,1
2687,1,1,1
2716,1,1,1
2725,2,2,1
2729,2,2,1
2733,3,3,1
2742,1,1,1
2767,1,1,1
2768,3,3,1
2803,1,1,1
2829,1,1,1
2853,1,1,1
2881,2,2,1
2887,2,2,1
2896,3,3,1
2932,1,1,1
2975,2,2,1
2989,1,1,1
314,1,1,1
316,3,3,1
329,1,1,1
339,2,2,1
347,1,1,1
350,1,1,1
3631,5,5,1
3632,5,5,1
367,1,1,1
369,1,1,1
409,2,2,1
4980,1,1,1
5057,1,1,1
521,4,4,1
523,4,4,1
536,1,1,1
568,3,3,1
5813,2,2,1
5875,4,4,1
589,1,1,1
592,1,1,1
604,1,1,1
606,1,1,1
608,2,2,1
614,1,1,1
629,1,1,1
647,5,6,1.2
652,1,1,1
675,1,1,1
684,1,1,1
714,1,1,1
763,1,1,1
792,1,1,1
799,2,2,1
800,1,1,1
807,1,1,1
811,2,2,1
822,2,2,1
831,2,2,1
832,2,2,1
833,2,2,1
834,2,2,1
836,2,2,1
837,2,2,1
853,1,1,1
873,2,2,1
874,2,2,1
915,2,3,1.5
916,1,1,1
919,1,1,1
929,2,2,1
937,2,2,1
974,1,1,1
987,1,1,1
