"index","pe","weight","avg"
141,1,1,1
1558,2,2,1
1677,1,1,1
1713,1,1,1
1721,1,1,1
1722,1,1,1
1729,1,1,1
1732,1,1,1
1733,1,1,1
1743,1,1,1
1754,1,1,1
1757,1,1,1
1758,1,1,1
1761,1,1,1
1765,1,1,1
1766,1,1,1
1783,1,1,1
1789,1,1,1
1806,1,1,1
1813,1,1,1
1814,1,1,1
1815,1,1,1
1929,2,2,1
1936,3,3,1
1941,2,2,1
1946,2,2,1
1949,2,2,1
1972,2,2,1
1974,1,1,1
1983,1,1,1
2003,3,3,1
2008,3,3,1
2014,2,2,1
2015,3,3,1
2018,2,2,1
2019,1,1,1
2024,1,1,1
2025,3,3,1
2027,4,4,1
2029,1,1,1
2044,1,1,1
2047,1,1,1
2054,4,4,1
2057,4,4,1
2059,4,4,1
2060,4,4,1
2061,4,4,1
2072,2,2,1
2074,6,6,1
2086,5,5,1
2087,4,4,1
2100,6,6,1
2103,6,6,1
2153,1,1,1
2154,1,1,1
2155,1,1,1
2165,1,1,1
219,1,1,1
2196,2,2,1
2199,2,2,1
2202,3,3,1
2210,1,1,1
2227,1,1,1
2380,3,3,1
2448,2,2,1
2573,3,3,1
2577,1,1,1
2579,4,4,1
2581,2,2,1
2636,2,2,1
2638,3,3,1
2643,3,3,1
2644,3,3,1
2646,2,2,1
2649,3,3,1
2688,3,3,1
2689,2,2,1
2691,2,2,1
2692,2,2,1
2695,2,2,1
2696,2,2,1
2699,3,3,1
2700,3,3,1
2704,3,3,1
2705,2,2,1
2746,3,3,1
2749,4,4,1
2760,4,4,1
2762,3,3,1
2764,3,3,1
2765,2,2,1
2769,2,2,1
2770,3,3,1
2775,3,3,1
2779,3,3,1
2863,2,2,1
2867,2,2,1
2876,1,1,1
2880,1,1,1
2881,1,1,1
2889,4,4,1
2891,3,3,1
2896,4,4,1
2898,3,3,1
2899,2,2,1
2900,4,4,1
2904,4,4,1
2906,4,4,1
2911,3,3,1
2915,2,2,1
2916,2,2,1
2917,2,2,1
2918,3,3,1
2919,2,2,1
2921,4,4,1
2924,4,4,1
2926,2,2,1
2927,4,4,1
2928,3,3,1
2929,3,3,1
2930,3,3,1
2931,2,2,1
2932,3,3,1
2934,3,3,1
2936,1,1,1
2939,1,1,1
2940,1,1,1
2944,1,1,1
2946,3,3,1
2947,4,4,1
2948,4,4,1
2949,3,3,1
2956,4,4,1
2957,3,3,1
2958,4,4,1
2959,4,4,1
2963,3,3,1
2968,2,2,1
2970,3,3,1
2973,3,3,1
2995,4,4,1
2996,3,3,1
2999,4,4,1
3000,2,2,1
3005,3,3,1
3007,2,2,1
3008,4,4,1
3010,3,3,1
3011,2,2,1
3018,4,4,1
3021,4,4,1
3022,3,3,1
3025,3,3,1
3026,4,4,1
3036,5,5,1
3038,5,5,1
3040,2,2,1
3041,4,4,1
3044,5,5,1
3047,4,4,1
3055,5,5,1
3057,4,4,1
3059,3,3,1
3063,2,2,1
3065,3,3,1
3067,3,3,1
3070,3,3,1
3071,3,3,1
3097,3,3,1
3100,2,2,1
3108,4,4,1
3111,3,3,1
3232,1,1,1
3478,1,1,1
3635,2,2,1
3636,2,2,1
3659,1,1,1
3716,2,2,1
3717,1,1,1
3723,1,1,1
3724,2,2,1
3728,2,2,1
3733,1,1,1
3734,1,1,1
3750,1,1,1
3751,1,1,1
3777,1,1,1
3880,1,1,1
3903,1,1,1
3994,1,1,1
3995,1,1,1
4035,5,5,1
4036,5,5,1
4052,2,2,1
4076,1,1,1
4129,1,1,1
4130,1,1,1
4262,1,1,1
4287,1,1,1
4295,1,1,1
4310,1,1,1
4313,1,1,1
4316,1,1,1
4348,3,3,1
4352,1,1,1
4362,2,2,1
4365,1,1,1
4388,2,2,1
4436,2,2,1
4494,2,2,1
4952,6,6,1
4954,4,4,1
5053,2,2,1
5080,2,2,1
5165,1,1,1
5173,1,1,1
5175,1,1,1
5177,3,3,1
5179,1,1,1
5264,2,2,1
5282,3,3,1
5283,3,3,1
5318,3,3,1
5320,3,3,1
5328,3,3,1
5330,3,3,1
5331,3,3,1
5337,3,3,1
5347,3,3,1
5385,3,3,1
5386,4,4,1
546,1,1,1
5561,1,1,1
562,1,1,1
5745,1,1,1
5746,1,1,1
5756,1,1,1
5770,1,1,1
579,1,1,1
5815,1,1,1
5918,2,2,1
5921,2,2,1
5936,1,1,1
5940,1,1,1
5964,1,1,1
5965,1,1,1
5990,1,1,1
5993,1,1,1
6000,1,1,1
6006,2,2,1
6015,1,1,1
6018,1,1,1
6028,1,1,1
6040,1,1,1
6052,2,2,1
6056,2,2,1
6067,1,1,1
6090,1,1,1
6094,1,1,1
6102,1,1,1
6114,1,1,1
6158,1,1,1
6164,1,1,1
6166,1,1,1
6167,1,1,1
619,1,1,1
623,1,1,1
631,1,1,1
6318,1,1,1
6319,1,1,1
632,1,1,1
6324,1,1,1
6325,1,1,1
6328,1,1,1
6333,1,1,1
6336,1,1,1
6338,1,1,1
6341,1,1,1
6342,1,1,1
6358,1,1,1
6390,1,1,1
6398,1,1,1
6399,1,1,1
6400,1,1,1
6401,1,1,1
655,1,1,1
658,1,1,1
665,1,1,1
671,1,1,1
673,1,1,1
