"index","pe","weight","avg"
1020,3,3,1
1604,12,12,1
1739,26,26,1
1870,16,16,1
1919,6,6,1
1938,2,2,1
2013,22,22,1
2090,1,1,1
2153,6,6,1
2169,6,6,1
2170,6,6,1
2176,6,6,1
2188,8,8,1
2189,3,3,1
2195,2,2,1
2196,1,1,1
2197,3,3,1
2198,3,3,1
2204,2,2,1
2205,1,1,1
2221,26,26,1
2235,1,1,1
2236,1,1,1
2237,1,1,1
2238,1,1,1
2240,5,5,1
2251,1,1,1
2253,18,18,1
2261,2,2,1
2262,4,4,1
2281,4,4,1
2282,2,2,1
2391,3,3,1
2495,12,12,1
2505,3,3,1
2550,3,3,1
2557,3,3,1
2625,3,3,1
2642,9,9,1
2658,1,1,1
272,1,1,1
2723,3,3,1
2736,3,3,1
275,4,4,1
41,2,2,1
416,3,3,1
44,3,3,1
456,4,4,1
5329,2,2,1
5336,9,9,1
5456,4,4,1
5457,2,2,1
5461,2,2,1
5463,5,5,1
5469,1,1,1
5478,4,4,1
5483,5,5,1
5500,1,1,1
5509,1,1,1
5524,5,5,1
5531,7,7,1
5536,2,2,1
5542,4,4,1
5546,1,1,1
5551,1,1,1
5553,3,3,1
5556,2,2,1
5568,1,1,1
5583,1,1,1
5589,1,1,1
5590,1,1,1
5597,1,1,1
5600,1,1,1
5616,1,1,1
5626,1,1,1
5638,1,1,1
5663,1,1,1
5674,1,1,1
5679,1,1,1
5694,2,2,1
5695,2,2,1
5715,1,1,1
5728,1,1,1
5747,1,1,1
5752,2,2,1
5753,2,2,1
5754,2,2,1
5759,2,2,1
5765,2,2,1
5777,1,1,1
5802,1,1,1
5803,2,2,1
5857,2,2,1
5893,4,4,1
5932,3,3,1
5936,1,1,1
5947,1,1,1
5953,2,2,1
5956,2,2,1
5959,1,1,1
5972,1,1,1
5973,2,2,1
5974,2,2,1
5976,1,1,1
5999,2,2,1
6002,2,2,1
6004,1,1,1
6020,1,1,1
6033,1,1,1
6056,1,1,1
6071,1,1,1
6072,1,1,1
6073,1,1,1
6074,8,8,1
6075,1,1,1
6076,1,1,1
6077,1,1,1
6078,1,1,1
6079,1,1,1
6080,1,1,1
6081,1,1,1
6082,1,1,1
6083,1,1,1
6084,1,1,1
6085,1,1,1
6086,1,1,1
6087,1,1,1
6088,1,1,1
6089,1,1,1
6090,1,1,1
6091,1,1,1
6092,1,1,1
6093,1,1,1
6094,1,1,1
6095,1,1,1
6096,1,1,1
6097,1,1,1
6098,1,1,1
6099,1,1,1
6100,1,1,1
6101,2,2,1
6102,1,1,1
6103,1,1,1
6104,1,1,1
6105,1,1,1
6106,1,1,1
6107,1,1,1
6108,1,1,1
6109,1,1,1
6110,1,1,1
6111,1,1,1
6112,1,1,1
6113,1,1,1
6114,1,1,1
6115,1,1,1
6116,1,1,1
6117,1,1,1
6118,1,1,1
6119,1,1,1
6120,1,1,1
6121,1,1,1
6122,1,1,1
6123,1,1,1
6124,1,1,1
6125,1,1,1
6126,1,1,1
6127,1,1,1
6128,1,1,1
6129,1,1,1
6130,1,1,1
6131,1,1,1
6132,1,1,1
6133,1,1,1
6134,1,1,1
6135,1,1,1
6136,1,1,1
6137,1,1,1
6138,1,1,1
6139,1,1,1
6140,1,1,1
6141,1,1,1
6142,1,1,1
6143,1,1,1
6144,1,1,1
6145,1,1,1
6146,1,1,1
6147,1,1,1
6148,1,1,1
6149,1,1,1
6150,1,1,1
6151,2,2,1
6152,2,2,1
6153,1,1,1
6154,1,1,1
6155,1,1,1
6156,1,1,1
6157,1,1,1
6158,1,1,1
6159,1,1,1
6160,1,1,1
6161,1,1,1
6162,1,1,1
6163,1,1,1
6164,2,2,1
6165,1,1,1
6166,1,1,1
6167,1,1,1
6168,1,1,1
6169,1,1,1
6170,1,1,1
6171,1,1,1
6172,1,1,1
6173,1,1,1
6174,1,1,1
6175,1,1,1
6176,1,1,1
6177,1,1,1
6178,1,1,1
6179,3,3,1
6180,1,1,1
6181,1,1,1
6182,1,1,1
6183,1,1,1
6184,1,1,1
6185,1,1,1
6186,1,1,1
6187,1,1,1
6188,1,1,1
6189,1,1,1
6190,1,1,1
6191,1,1,1
6192,4,4,1
6201,1,1,1
6205,1,1,1
6206,1,1,1
6264,3,3,1
6366,1,1,1
6403,1,1,1
6419,1,1,1
6465,16,16,1
6471,5,5,1
6472,1,1,1
6562,31,31,1
6577,1,1,1
6579,1,1,1
6592,1,1,1
6637,1,1,1
6638,1,1,1
682,3,3,1
692,4,4,1
7021,13,13,1
7276,6,6,1
7347,2,2,1
7397,1,1,1
7495,1,1,1
7544,1,1,1
7710,26,26,1
7911,22,22,1
8288,2,2,1
840,1,1,1
856,3,3,1
857,3,3,1
8578,1,1,1
8865,21,21,1
8928,1,1,1
8930,3,3,1
960,3,3,1
