"Sistema","Media","Mediana","Min","Max","Desvio"
"Vim",2.70600858369099,1,1,26,0.869774928534149
"PaceMaker",1.8834121089354,1,1,23,0.836538966303501
"LibXML",3.28738634445168,3,1,20,6.51262318369849
"Lighttpd",3.59876543209877,2,1,23,1.5587630530143
"Collectd",2.87578475336323,3,1,21,1.62607039435669
"Syslog",1.7448275862069,1.5,1,6,0.515140611216586
"Ccache",2.19406674907293,1,1,28,5.51824797764309
"Gawk",9.82914402173913,9.45,1,17,6.20146882342784
"Gzip",3.4,4,2,4,0.371588779652173
"LibNFC",2.17857142857143,1,1,9,0.376246548422722
"LibSSH",3.1838621482684,2.8,1,14.5,7.22783482115795
"librskafka",1,1,1,1,0.0533189272527616
"Mosquitto",7.40838095238095,4.5,1,25,12.8601673752076
"MPSolve",1.67597765363128,1,1,10.5,1.19673195350106
"OpenVPN",1.28531207598372,1,1,6.5,2.28350058659766
"Ossec",1.38839941262849,1,1,8.66666666666667,1.48494821278913
"PianoBar",1.75,1.75,1,4,0.513894517437074
"SilverSearch",1.23404255319149,1,1,4,0.275079687394778
"GNUPlot",1.60936468646865,1,1,14.6666666666667,2.02446184238452
"OpenSC",2.05749534952687,1.66666666666667,1,19,5.01639134845445
"Sylpheed ",1.67567567567568,1,1,4,0.326392809560913
"Curl",1.29988226059655,1,1,9,1.14887924861548
"Gnuchess",3.11363636363636,1.25,1,9,1.51139215212258
"Totem",1.01993024414549,1,1,4,0.429055502700888
"M4",1.1712962962963,1,1,6.33333333333333,0.726075530231215
"Dia",1.08179681851048,1,1,9.75,1.55472267325149
"MapServer",2.10617740171767,2,1,75,8.14630627365936
"Ethersex",1.09732319485658,1,1,7,1.08126625538723
"Uwsgi",2.88615700368198,3,1,14,11.7173361017874
"Hexchat",1.53787878787879,1,1,16.5,1.70329112301741
