"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"30-03-2002 08:20:37","48","2","1","2","56","59","61","113"
"31-03-2002 11:58:57","97","2","1","2","105","108","110","211"
"29-05-2002 08:22:21","146","2","2","12","156","160","164","354"
"28-03-2003 08:25:27","195","3","2","12","209","213","220","789"
"11-05-2006 5:44:44","244","4","3","14","261","266","277","1345"
"06-12-2009 11:25:07","293","7","2","12","312","316","332","1877"
"30-01-2010 11:38:25","342","6","2","12","361","365","383","2445"
"22-02-2010 05:40:20","391","4","2","12","413","417","437","3104"
"28-02-2010 09:53:30","440","4","2","12","463","467","486","3692"
"25-04-2010 04:45:32","489","4","1","2","513","516","535","4130"
"09-05-2010 10:56:16","538","4","1","2","562","565","584","4228"
"30-05-2010 06:01:05","587","4","1","2","611","614","633","4326"
"09-06-2010 3:10:03","636","5","1","2","660","663","682","4424"
"14-07-2010 09:55:08","685","6","2","12","709","713","731","4582"
"16-07-2010 04:31:08","734","6","2","12","759","763","785","5080"
"01-08-2010 10:06:09","783","8","4","15","808","814","834","5764"
"14-08-2010 05:27:21","832","9","6","16","858","867","887","6604"
"05-09-2010 4:46:10","881","9","8","18","908","920","948","7445"
"09-10-2010 10:39:35","930","9","8","18","962","974","1013","8379"
"22-11-2010 05:09:30","979","9","8","18","1050","1062","1184","9208"
"29-05-2011 12:14:25","1028","9","11","4","1111","1126","1320","9867"
"19-07-2011 06:21:57","1077","9","10","3","1163","1177","1432","10298"
"15-08-2011 03:34:00","1126","9","11","4","1216","1231","1561","11008"
"22-02-2012 05:48:03","1175","9","9","19","1270","1283","1668","11674"
"30-07-2012 04:24:26","1224","9","7","17","1323","1333","1748","12559"
"04-11-2012 7:38:13","1273","9","7","17","1374","1384","1801","13420"
"08-08-2013 12:06:16","1322","10","6","16","1425","1434","1854","14284"
"16-08-2014 08:22:04","1371","10","6","16","1476","1485","1907","15136"
"07-03-2015 8:49:29","1420","10","9","19","1527","1540","1972","16037"
"28-06-2015 02:49:05","1469","10","8","18","1577","1589","2028","16989"
"02-11-2015 5:14:32","1518","12","10","3","1628","1643","2097","17600"
"17-02-2016 04:33:44","1567","12","10","3","1682","1697","2186","18009"
"11-07-2016 3:06:32","1616","10","10","3","1776","1790","2372","18707"
"22-07-2016 06:18:19","1665","12","13","6","1834","1852","2517","19440"
"07-09-2016 2:52:15","1714","14","15","8","1889","1910","2664","19791"
"13-11-2016 12:50:50","1763","14","15","8","1940","1961","2779","20149"
"06-01-2018 10:30:50","1812","14","15","8","1989","2010","2877","20492"
"30-01-2018 05:36:19","1861","14","15","8","2038","2059","2975","20835"
"11-03-2018 4:21:27","1910","14","16","10","2087","2109","3078","21207"
"23-06-2018 01:09:49","1959","12","15","8","2139","2159","3189","21563"
"16-09-2018 04:19:09","2008","22","23","13","2189","2215","3307","21990"
"20-10-2018 08:20:26","2057","22","23","13","2238","2264","3413","22623"
