"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"22-07-2009 06:02:28","48","3","0","1","51","53","53","55"
"08-09-2009 6:25:59","97","3","0","1","100","102","102","104"
"20-10-2009 12:36:22","146","2","0","1","149","151","151","153"
"24-11-2009 03:05:31","195","3","1","2","198","201","200","211"
"12-01-2010 9:36:43","244","3","1","2","247","250","251","307"
"17-02-2010 12:02:03","293","4","1","2","296","299","300","405"
"14-04-2010 06:39:18","342","4","4","5","345","350","350","520"
"18-05-2010 04:27:50","391","4","4","5","394","399","399","765"
"28-07-2010 08:56:40","440","4","4","5","443","448","448","1010"
"17-08-2010 04:24:38","489","4","3","4","493","498","501","1224"
"24-08-2010 06:22:55","538","4","3","4","542","547","552","1418"
"24-09-2010 12:51:30","587","4","3","4","591","596","601","1614"
"06-10-2010 6:02:12","636","4","3","4","640","645","650","1810"
"13-10-2010 03:17:51","685","4","3","4","689","694","704","2001"
"19-10-2010 12:50:18","734","4","3","4","738","743","754","2196"
"06-01-2011 11:00:05","783","4","3","4","787","792","807","2388"
"02-03-2011 11:02:30","832","4","3","4","836","841","859","2581"
"12-03-2011 12:02:11","881","4","3","4","885","890","909","2776"
"27-04-2011 09:16:36","930","4","3","4","934","939","958","2972"
"09-05-2011 3:34:00","979","4","3","4","983","988","1007","3168"
"26-06-2011 10:43:11","1028","4","3","4","1032","1037","1056","3364"
"02-10-2011 5:52:05","1077","4","3","4","1081","1086","1105","3560"
"19-12-2011 11:05:02","1126","4","3","4","1130","1135","1154","3756"
"05-01-2012 2:03:38","1175","4","3","4","1179","1184","1203","3952"
"27-02-2012 10:10:47","1224","4","3","4","1228","1233","1253","4147"
"13-05-2012 03:15:44","1273","4","3","4","1277","1282","1302","4343"
"27-05-2012 06:34:21","1322","4","3","4","1326","1331","1351","4539"
"21-10-2012 11:11:38","1371","4","3","4","1375","1380","1402","4733"
"16-01-2013 04:13:11","1420","4","3","4","1424","1429","1451","4929"
"26-01-2013 08:42:56","1469","4","3","4","1473","1478","1500","5125"
"06-02-2013 11:16:33","1518","4","3","4","1522","1527","1549","5321"
"03-03-2013 10:34:35","1567","5","4","5","1571","1577","1598","5519"
"08-03-2013 6:43:41","1616","5","4","5","1620","1626","1647","5764"
"27-03-2013 11:12:18","1665","6","5","6","1669","1676","1699","6025"
"14-06-2013 06:25:08","1714","6","5","6","1718","1725","1748","6319"
"19-09-2013 05:48:44","1763","6","5","6","1767","1774","1798","6612"
"29-01-2014 07:30:44","1812","6","5","6","1816","1823","1847","6906"
"21-02-2015 06:57:36","1861","6","5","6","1865","1872","1896","7200"
"04-11-2015 4:15:56","1910","6","5","6","1914","1921","1945","7494"
"06-12-2016 1:58:30","1959","6","5","6","1963","1970","1994","7788"
"03-03-2017 1:41:13","2008","6","5","6","2012","2019","2043","8082"
"13-11-2018 07:31:54","2057","6","5","6","2061","2068","2092","8376"
