"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"06-02-2013 8:05:11","48","10","3","8","54","58","74","420"
"02-03-2011 6:39:50","97","8","3","8","105","109","127","802"
"30-03-2011 01:23:03","146","8","3","8","154","158","191","1167"
"11-04-2011 5:47:29","195","8","3","8","203","207","243","1556"
"23-04-2011 09:23:21","244","9","4","9","253","258","306","1924"
"30-05-2011 05:25:52","293","9","3","8","304","308","373","2304"
"05-07-2011 6:10:11","342","9","3","8","353","357","428","2686"
"20-07-2011 06:00:41","391","9","3","8","402","406","477","3078"
"05-08-2011 1:53:38","440","10","3","8","451","455","526","3470"
"19-09-2011 06:48:33","489","10","3","8","500","504","575","3862"
"21-10-2011 06:15:49","538","10","3","8","549","553","626","4248"
"09-11-2011 7:16:05","587","10","3","8","598","602","675","4640"
"20-11-2011 11:13:04","636","8","3","8","649","653","724","5019"
"07-12-2011 1:29:24","685","9","2","7","700","703","777","5332"
"09-01-2012 1:07:04","734","9","2","7","750","753","838","5619"
"09-02-2012 10:53:28","783","10","4","9","799","804","893","5946"
"23-03-2012 12:03:42","832","10","3","8","850","854","955","6301"
"21-04-2012 09:18:59","881","10","3","8","899","903","1008","6689"
"20-08-2012 12:49:05","930","10","3","8","948","952","1065","7073"
"04-09-2012 12:33:11","979","10","3","8","997","1001","1115","7464"
"19-11-2012 07:42:31","1028","10","3","8","1047","1051","1167","7862"
"06-03-2013 5:41:50","1077","10","3","8","1096","1100","1221","8249"
"19-03-2013 02:39:25","1126","10","3","8","1145","1149","1282","8629"
"28-03-2013 04:33:11","1175","10","4","9","1194","1199","1334","9052"
"16-05-2013 05:34:58","1224","10","3","8","1245","1249","1386","9454"
"15-10-2013 04:32:15","1273","10","3","8","1294","1298","1435","9846"
"24-10-2013 12:56:28","1322","10","3","8","1343","1347","1484","10238"
"05-12-2013 11:59:04","1371","12","5","10","1392","1398","1570","10653"
"18-12-2013 11:23:01","1420","13","6","11","1441","1448","1668","11138"
"14-02-2014 01:44:23","1469","15","12","4","1490","1503","1750","11600"
"18-03-2014 07:27:32","1518","16","14","6","1539","1554","1852","11814"
"29-07-2014 09:52:38","1567","15","12","4","1591","1604","1960","12032"
"23-01-2016 08:10:08","1616","15","11","3","1641","1653","2026","12256"
"08-12-2016 5:14:16","1665","15","9","15","1692","1702","2076","12481"
