"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"26-05-2014 01:03:21","48","24","21","9","121","136","139","467"
"23-06-2014 01:44:42","97","24","18","6","187","198","244","1163"
"01-08-2014 4:34:21","146","19","14","2","250","247","316","1505"
"22-09-2014 06:37:19","195","22","20","8","299","312","378","2070"
"16-11-2014 08:41:06","244","26","29","17","358","390","456","2747"
"26-01-2015 06:02:53","293","24","25","13","423","441","591","3706"
"03-03-2015 8:08:22","342","21","20","8","489","491","679","4308"
"29-04-2015 05:16:59","391","21","21","9","540","549","761","4961"
"29-06-2015 06:31:39","440","30","40","28","744","748","969","6234"
"13-11-2015 06:01:25","489","30","44","15","966","954","1186","7459"
"11-03-2016 6:04:09","538","29","26","14","1119","1079","1302","8498"
"15-05-2016 12:42:20","587","31","43","31","1244","1208","1426","9962"
"26-06-2016 05:00:43","636","31","48","35","1335","1303","1497","11678"
"01-07-2016 9:00:01","685","35","50","36","1422","1401","1621","13685"
"29-09-2016 01:51:31","734","31","41","29","1474","1464","1697","15629"
"03-04-2017 3:45:42","783","29","38","26","1529","1528","1777","17177"
"18-07-2017 07:15:42","832","31","38","26","1587","1585","1865","18630"
"13-01-2018 06:11:07","881","31","38","26","1638","1636","1966","20086"
"26-03-2018 05:57:32","930","31","36","23","1704","1699","2032","21445"
"16-04-2018 05:39:37","979","31","41","29","1791","1791","2158","22886"
"09-08-2018 6:20:24","1028","31","41","29","1849","1848","2267","24481"
"19-09-2018 09:40:22","1077","31","42","30","1916","1908","2401","26092"
"07-11-2018 7:03:34","1126","31","42","30","1974","1965","2463","27751"
