"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"01-10-2005 7:04:32","48","8","8","21","54","62","57","1107"
"09-10-2005 10:45:08","97","8","8","21","103","111","111","2229"
"29-10-2005 02:40:46","146","10","10","2","153","163","169","2603"
"10-11-2005 3:38:01","195","12","12","4","203","215","224","2822"
"22-11-2005 05:19:53","244","12","12","4","253","265","276","3014"
"07-01-2006 10:50:09","293","12","12","4","302","314","335","3223"
"17-01-2006 05:55:53","342","11","13","5","352","365","390","3442"
"26-01-2006 03:50:47","391","13","14","6","402","416","442","3752"
"30-01-2006 10:53:28","440","13","14","6","451","465","495","4042"
"08-02-2006 5:04:49","489","13","14","6","500","514","547","4333"
"03-03-2006 3:29:45","538","13","14","6","549","563","597","4626"
"09-03-2006 10:39:05","587","13","15","8","599","614","650","4939"
"17-03-2006 08:41:22","636","15","17","10","649","666","699","5330"
"23-03-2006 10:58:50","685","17","17","10","699","716","748","5770"
"07-04-2006 10:58:36","734","20","23","14","754","777","815","6230"
"02-05-2006 8:22:43","783","20","27","18","805","832","908","6966"
"26-05-2006 06:08:01","832","20","27","18","856","883","1014","7812"
"19-06-2006 07:23:42","881","20","27","18","908","935","1124","8651"
"12-07-2006 3:47:00","930","23","31","19","958","989","1238","9520"
