"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"30-11-2011 09:30:35","48","1","0","1","55","56","54","64"
"13-12-2011 02:37:08","97","1","0","1","104","105","103","113"
"24-12-2011 11:15:30","146","1","0","1","153","154","152","162"
"29-12-2011 04:59:38","195","1","0","1","202","203","201","211"
"14-01-2012 04:53:20","244","3","1","2","251","253","250","278"
"25-01-2012 03:51:51","293","3","1","2","300","302","299","376"
"24-02-2012 08:56:47","342","3","1","2","349","351","348","474"
"14-03-2012 02:02:53","391","4","2","9","399","402","398","817"
"28-03-2012 02:52:22","440","6","4","11","448","453","447","1241"
"18-04-2012 11:50:43","489","6","4","11","497","502","497","1730"
"03-07-2012 1:02:20","538","6","5","12","546","552","555","2246"
"21-08-2012 10:12:00","587","6","5","12","595","601","615","2774"
"29-08-2012 02:03:09","636","6","5","12","644","650","664","3313"
"07-09-2012 7:20:21","685","6","5","12","693","699","713","3852"
"01-10-2012 1:53:41","734","6","5","12","745","751","775","4374"
"17-10-2012 04:45:42","783","8","7","13","796","804","828","4909"
"28-11-2012 11:17:49","832","6","4","11","848","853","879","5412"
"29-01-2013 05:00:29","881","6","4","11","897","902","928","5902"
"06-03-2013 4:05:05","930","10","7","14","946","954","984","6433"
"20-05-2013 08:49:34","979","11","9","16","995","1005","1033","7096"
"20-09-2013 02:39:54","1028","10","7","14","1046","1054","1082","7751"
"06-01-2014 11:49:13","1077","10","7","14","1095","1103","1134","8385"
"15-03-2014 10:33:38","1126","10","7","14","1144","1152","1185","9020"
"07-05-2014 2:24:40","1175","11","8","15","1193","1202","1236","9682"
"24-06-2014 12:36:57","1224","13","12","4","1244","1257","1286","10125"
"10-08-2014 10:10:33","1273","13","12","4","1295","1308","1335","10319"
"26-09-2014 04:41:17","1322","13","12","4","1344","1357","1385","10514"
"16-11-2014 05:36:24","1371","13","12","4","1393","1406","1434","10710"
"22-12-2014 01:23:10","1420","13","12","4","1443","1456","1483","10905"
"21-01-2015 03:59:38","1469","13","12","4","1492","1505","1532","11101"
"13-03-2015 02:22:38","1518","15","12","4","1542","1555","1581","11296"
"17-04-2015 12:39:58","1567","15","13","5","1592","1606","1633","11509"
"19-08-2015 02:12:50","1616","15","13","5","1642","1656","1682","11753"
"25-09-2015 06:31:31","1665","15","13","5","1693","1707","1731","11996"
"05-04-2016 2:50:17","1714","16","14","6","1748","1763","1780","12252"
"25-08-2016 02:53:00","1763","18","16","8","1803","1820","1830","12547"
"26-11-2016 06:17:41","1812","16","14","6","1855","1870","1880","12842"
"12-03-2017 2:02:28","1861","16","14","6","1910","1925","1930","13132"
"19-06-2017 07:05:08","1910","16","14","6","1961","1976","1979","13424"
"01-12-2017 4:13:03","1959","15","14","6","2010","2025","2029","13717"
