"Date","Evolution","Variabilities","TotalDependencies","Preserved","DependenciesDeleted","DependenciesAdditions","DependenciesChanged","DependenciesNotModified"
"30-11-2011 09:30:35","48","1","0","1","54","55","54","66"
"13-12-2011 02:37:08","97","1","0","1","103","104","103","115"
"24-12-2011 11:15:30","146","1","0","1","152","153","152","164"
"29-12-2011 04:59:38","195","1","0","1","201","202","201","213"
"14-01-2012 04:53:20","244","3","1","2","250","252","250","280"
"25-01-2012 03:51:51","293","3","1","2","299","301","299","378"
"24-02-2012 08:56:47","342","3","1","2","348","350","348","476"
"14-03-2012 02:02:53","391","4","2","11","398","401","398","891"
"28-03-2012 02:52:22","440","6","4","13","447","452","447","1413"
"18-04-2012 11:50:43","489","6","4","13","496","501","497","2000"
"03-07-2012 1:02:20","538","6","5","14","545","551","555","2614"
"21-08-2012 10:12:00","587","6","5","14","594","600","615","3240"
"29-08-2012 02:03:09","636","6","5","14","643","649","664","3877"
"07-09-2012 7:20:21","685","6","5","14","692","698","713","4514"
"01-10-2012 1:53:41","734","6","5","14","744","750","775","5134"
"17-10-2012 04:45:42","783","8","7","15","795","803","828","5767"
"28-11-2012 11:17:49","832","6","4","13","847","852","881","6366"
"29-01-2013 05:00:29","881","6","4","13","896","901","930","6954"
"06-03-2013 4:05:05","930","10","7","16","945","953","984","7573"
"20-05-2013 08:49:34","979","11","9","18","994","1004","1034","8333"
"20-09-2013 02:39:54","1028","11","9","18","1043","1053","1083","9166"
"06-01-2014 11:49:13","1077","10","7","16","1094","1102","1136","9933"
"15-03-2014 10:33:38","1126","10","7","16","1143","1151","1187","10666"
"07-05-2014 2:24:40","1175","11","8","17","1192","1201","1237","11427"
"24-06-2014 12:36:57","1224","13","12","4","1241","1254","1289","11920"
"10-08-2014 10:10:33","1273","13","12","4","1292","1305","1338","12114"
"26-09-2014 04:41:17","1322","13","12","4","1341","1354","1388","12309"
"16-11-2014 05:36:24","1371","13","12","4","1390","1403","1437","12505"
"22-12-2014 01:23:10","1420","13","12","4","1439","1452","1486","12701"
"21-01-2015 03:59:38","1469","13","12","4","1488","1501","1535","12897"
"13-03-2015 02:22:38","1518","15","12","4","1539","1552","1584","13102"
"17-04-2015 12:39:58","1567","15","13","5","1589","1603","1636","13316"
"19-08-2015 02:12:50","1616","15","13","5","1639","1653","1685","13560"
"25-09-2015 06:31:31","1665","15","13","4","1694","1708","1736","13829"
"05-04-2016 2:50:17","1714","16","14","6","1743","1758","1787","14086"
"25-08-2016 02:53:00","1763","16","14","6","1797","1812","1838","14375"
"26-11-2016 06:17:41","1812","16","15","7","1850","1866","1889","14672"
"12-03-2017 2:02:28","1861","18","16","9","1902","1919","1939","15031"
"19-06-2017 07:05:08","1910","18","16","9","1952","1969","1988","15438"
"01-12-2017 4:13:03","1959","17","16","9","2001","2018","2038","15829"
